,en,ru,pl,be,uk,bg,sl,cs
10, The [???] is responsible for carrying out both foreign and domestic policies.," [m] отвечает за проведение как внешней, так и внутренней политики."," [m] odpowiada za prowadzenie zarówno polityki zagranicznej, jak i krajowej."," [m] адказвае за правядзенне як знешняй, так і ўнутранай палітыкі."," [m] відповідає за проведення як зовнішньої, так і внутрішньої політики."," [m] отговаря за провеждането както на външната, така и на вътрешната политика.", [m] je odgovoren za izvajanje zunanje in notranje politike., [m] je odpovědný za provádění zahraniční i domácí politiky.
11," [???] has a past of being heavily influenced by the ruling party in its reporting, that being left or right winged."," [f] в прошлом находилась под сильным влиянием правящей партии в своих отчетах, которые были левыми или правыми."," [f] ma w przeszłości duży wpływ na partię rządzącą w swoich raportach, która jest lewicowa lub prawicowa."," [f] мае мінулае пад моцным уплывам кіруючай партыі ў сваіх справаздачах, прычым левыя ці правыя."," [f] має в минулому сильний вплив правлячої партії у своїх звітах, як лівих, так і правих."," [f] има минало, че е била силно повлияна от управляващата партия в отчетите си, като е била ляво или дясно крило."," [n] ima preteklost, ko je pri poročanju močno vplivala vladajoča stranka, in sicer levo ali desno."," [f] má za sebou minulost, kdy byla ve svém zpravodajství silně ovlivňována vládnoucí stranou, levicovou nebo pravicovou stranou."
12, [???] has also used the game for its other late ' 90s and 2000 's anthology series., [n] также использовало эту игру для другой серии антологий конца 90-х и 2000-х годов., [n] wykorzystało tę grę również w innych seriach antologii z końca lat 90. i 2000.," ""[n]"" таксама выкарыстоўвала гульню для іншых серыялаў анталогіі канца 90-х і 2000-х гадоў.", [n] також використовувало гру для інших антологій кінця 90-х і 2000-х років., [n] също е използвало играта за други антологични серии от края на 90-те и 2000-те., [f] je igro uporabila tudi za svoje druge antologijske serije iz poznih 90-ih in 2000-ih., [f] hru také použila pro své další antologické série z konce 90. let a 20. století.
13," To achieve this, [???] has usually engineered its cars with a longitudinally front mounted engine, in an "" overhung "" position, over the front wheels in front of the axle line."," Чтобы добиться этого, [m] обычно проектирует свои автомобили с двигателем, расположенным спереди продольно, в «нависающем» положении над передними колесами перед осевой линией."," Aby to osiągnąć, [m] zwykle projektował swoje samochody z silnikiem montowanym wzdłużnie z przodu, w pozycji „przewieszonej”, nad przednimi kołami przed linią osi."," Каб дасягнуць гэтага, [m] звычайна распрацоўвае свае аўтамабілі з падоўжным пярэднім рухавіком, у «навешаным» становішчы, над пярэднімі коламі перад лініяй восі."," Щоб досягти цього, [m] зазвичай розробляв свої автомобілі з поздовжньо переднім двигуном, у «звислому» положенні, над передніми колесами перед лінією осі."," За да постигне това, [m] обикновено проектира своите автомобили с надлъжно предно монтиран двигател, в ""надвесна"" позиция, над предните колела пред линията на оста."," Da bi to dosegel, je [m] svoje avtomobile običajno izdelal z vzdolžno spredaj nameščenim motorjem, v ""previsi"" položaju, nad sprednjimi kolesi pred osno linijo."," Aby toho dosáhl, [m] obvykle konstruoval své vozy s motorem uloženým podélně vpředu, v „převislé“ poloze, nad předními koly před linií nápravy."
14," Beginning in 2006, [???] has implemented white LED technology as daytime running lights in their products."," Начиная с 2006 года, [pl] внедрили в свою продукцию технологию белых светодиодов в качестве дневных ходовых огней."," Począwszy od 2006 roku, [pl] wprowadziły w swoich produktach technologię białych diod LED jako światła do jazdy dziennej.", Пачынаючы з 2006 года [pl] укаранілі тэхналогію белых святлодыёдаў у якасці дзённых хадавых агнёў у сваіх прадуктах.," Починаючи з 2006 року, [pl] впровадили технологію білого світлодіода як денних ходових вогнів у своїх продуктах."," Започвайки от 2006 г., [pl] внедряват бяла LED технология като дневни светлини в своите продукти.", Od leta 2006 so [pl] v svoje izdelke uvedla belo LED tehnologijo kot dnevne luči., Počínaje rokem 2006 [pl] zavedly do svých produktů technologii bílých LED jako světla pro denní svícení.
15, [???] has competed in numerous forms of motorsports., [n] соревновалось во многих видах автоспорта., [n] rywalizowało w wielu formach sportów motorowych.," ""[n]"" спаборнічала ў шматлікіх відах аўтаспорту.", [n] змагалося в численних видах автоспорту., [n] се е състезавало в множество форми на моторни спортове., [f] je tekmovala v številnih oblikah motošporta., [f] soutěžila v mnoha formách motoristického sportu.
16, [???] is a strong partner of different kinds of sports., [m] является сильным партнером различных видов спорта., [m] jest silnym partnerem różnych dyscyplin sportowych., [m] з'яўляецца моцным партнёрам розных відаў спорту., [m] – сильний партнер різних видів спорту., [m] е силен партньор на различни видове спорт., [m] je močan partner različnih športov., [m] je silným partnerem různých druhů sportů.
17, [???] has stated that additional content will be added in 2010.," [m] заявил, что дополнительный контент будет добавлен в 2010 году."," [m] oświadczył, że dodatkowa zawartość zostanie dodana w 2010 roku."," [m] заявіў, што дадатковы кантэнт будзе дададзены ў 2010 годзе."," [m] заявив, що додатковий вміст буде додано в 2010 році."," [m] заяви, че допълнително съдържание ще бъде добавено през 2010 г."," [m] je izjavil, da bo leta 2010 dodana dodatna vsebina."," [m] uvedl, že další obsah bude přidán v roce 2010."
18, The next phase of technology [???] is developing is the e-tron electric drive powertrain system., Следующим этапом развития технологий [n] является система трансмиссии с электроприводом e-tron.," Kolejną fazą rozwoju technologii ""[n]"" jest układ napędowy z napędem elektrycznym e-tron."," Наступны этап развіцця тэхналогій ""[n]"" - сістэма электрапрывада e-tron.", Наступним етапом розвитку технологій [pl] є система електроприводу e-tron., Следващата фаза на развитието на технологията [n] е системата за електрическо задвижване e-tron.," Naslednja faza tehnologije ""[n]"" v razvoju je električni pogonski sistem e-tron.", Další fází vývoje technologie [pl] je systém elektrického pohonu e-tron.
19, Much of the software [???] develops is bundled with its computers., Большая часть программного обеспечения [m] разрабатывается вместе с его компьютерами.," Znaczna część oprogramowania, które [m] rozwija, jest dołączona do jego komputerów."," Большая частка праграмнага забеспячэння, якое распрацоўвае [m], ідзе ў камплекце з камп'ютарамі."," Більша частина програмного забезпечення, яке розробляє [m], постачається разом із його комп’ютерами."," Голяма част от софтуера, който [m] разработва, е в комплект с неговите компютри."," Večina programske opreme, ki jo razvija [m], je priložena njegovim računalnikom."," Velká část softwaru, který [m] vyvíjí, je součástí jeho počítačů."
20," While this brand loyalty is considered unusual for any product, [???] appears not to have gone out of its way to create it."," Хотя эта лояльность к бренду считается необычной для любого продукта, похоже, [m] не приложил все усилия для ее создания."," Chociaż ta lojalność wobec marki jest uważana za niezwykłą w przypadku każdego produktu, wydaje się, że [m] nie zrobił wszystkiego, aby go stworzyć."," Нягледзячы на ​​тое, што лаяльнасць да гэтага брэнду лічыцца незвычайнай для любога прадукту, [m], здаецца, не паклапаціўся на яго стварэнне."," Хоча лояльність до цього бренду вважається незвичайною для будь-якого продукту, [m], схоже, не докладав усіх зусиль, щоб створити його."," Въпреки че тази лоялност към марката се счита за необичайна за всеки продукт, [m] изглежда не е положил всички усилия, за да го създаде."," Čeprav se zvestoba tej blagovni znamki šteje za nenavadno za vsak izdelek, se zdi, da [m] ni naredil vsega, da bi ga ustvaril."," I když je tato věrnost značce považována za neobvyklou u jakéhokoli produktu, zdá se, že [m] nevyšel ze své cesty, aby ji vytvořil."
21," While the conferences continue, [???] does not have official representation there."," Пока конференции продолжаются, [n] не имеет там официального представительства."," Podczas gdy konferencje trwają, [n] nie ma tam oficjalnej reprezentacji."," Пакуль канферэнцыі працягваюцца, ""[n]"" не мае там афіцыйнага прадстаўніцтва."," Поки конференції тривають, [n] не має там офіційного представництва."," Докато конференциите продължават, [n] няма официално представителство там."," Medtem ko se konference nadaljujejo, [n] tam nima uradnega predstavništva."," Zatímco konference pokračují, [f] tam nemá oficiální zastoupení."
22," [???] has a history of vertical integration in their products, manufacturing the hardware on which they pre-install their software."," [pl] имеют опыт вертикальной интеграции своих продуктов, производя аппаратное обеспечение, на которое они предварительно устанавливают свое программное обеспечение."," [pl] mają historię pionowej integracji swoich produktów, produkując sprzęt, na którym wstępnie instalują swoje oprogramowanie."," [pl] маюць гісторыю вертыкальнай інтэграцыі ў свае прадукты, вырабляючы апаратнае забеспячэнне, на якое яны папярэдне ўсталёўваюць сваё праграмнае забеспячэнне."," [pl] мають історію вертикальної інтеграції у свої продукти, виробляючи апаратне забезпечення, на яке вони попередньо встановлюють своє програмне забезпечення."," [pl] имат история на вертикална интеграция в своите продукти, произвеждайки хардуера, на който предварително инсталират софтуера си."," [pl] imajo v svojih izdelkih zgodovino vertikalne integracije, ki proizvajajo strojno opremo, na katero vnaprej namestijo svojo programsko opremo."," [pl] mají historii vertikální integrace ve svých produktech a vyrábějí hardware, na který předinstalují svůj software."
23, [???] has also begun to advertise how environmentally friendly their new laptops are with television spots and magazine ads along with stating these facts on their website.," [pl] также начали рекламировать экологичность своих новых ноутбуков в телевизионных роликах и рекламе в журналах, а также размещать эти факты на своих веб-сайтах."," [pl] zaczęły również reklamować, jak przyjazne dla środowiska są ich nowe laptopy za pomocą spotów telewizyjnych i reklam w czasopismach, a także podają te fakty na swojej stronie internetowej."," [pl] таксама пачалі рэкламаваць, наколькі экалагічна чыстыя іх новыя наўтбукі, у тэлевізійных стужках і часопісных рэкламах разам з выказваннем гэтых фактаў на сваім сайце."," [pl] також почали рекламувати, наскільки екологічно чисті їхні нові ноутбуки, за допомогою телевізійних роликів і журнальної реклами разом із зазначенням цих фактів на своєму веб-сайті."," [pl] също започнаха да рекламират колко екологични са новите им лаптопи с телевизионни спотове и реклами в списания, заедно с посочването на тези факти на уебсайта си."," [pl] so tudi začela oglaševati, kako okolju prijazni so njihovi novi prenosniki s televizijskimi vložki in oglasi v revijah ter navajati ta dejstva na svoji spletni strani."," [pl] také začaly inzerovat, jak jsou jejich nové notebooky šetrné k životnímu prostředí, prostřednictvím televizních spotů a reklam v časopisech spolu s uvedením těchto skutečností na svých webových stránkách."
24," [???] has been criticized for using sweatshop labor practices, environmental degradation, and unethical business practices."," [n] подвергается критике за использование потогонных методов труда, ухудшение состояния окружающей среды и неэтичные методы ведения бизнеса."," [n] zostało skrytykowane za stosowanie praktyk pracowniczych, degradację środowiska i nieetyczne praktyki biznesowe."," ""[n]"" падверглася крытыцы за выкарыстанне практыкі працы ў потагонных цэхах, пагаршэння навакольнага асяроддзя і неэтычнай дзелавой практыкі."," [n] піддалося критиці за використання методів праці в потогонних цехах, погіршення стану навколишнього середовища та неетичних методів ведення бізнесу."," [n] е критикувано за използване на работни практики, влошаване на околната среда и неетични бизнес практики."," [f] je bila kritizirana zaradi uporabe delovnih praks v delavnicah, degradacije okolja in neetičnih poslovnih praks."," [f] byla kritizována za používání pracovních praktik manufaktury, poškozování životního prostředí a neetických obchodních praktik."
25," [???] has been cultivating a grass roots audience across the country, which has become a large and loyal underground following."," [m] культивирует массовую аудиторию по всей стране, которая стала большой и лояльной андеграундной аудиторией."," [m] kultywuje oddolną publiczność w całym kraju, która stała się liczną i lojalną podziemną grupą."," [m] культывуе шырокую аўдыторыю па ўсёй краіне, якая стала вялікай і лаяльнай падпольнай аўдыторыяй."," [m] культивував низову аудиторію по всій країні, яка стала великою й лояльною підпільною аудиторією."," [m] култивира широка публика в цялата страна, която се превърна в голям и лоялен ъндърграунд последовател."," [m] goji množično občinstvo po vsej državi, ki je postalo veliko in zvesto podzemlje."," [m] si po celé zemi pěstuje základní publikum, které se stalo velkým a loajálním undergroundovým následovníkem."
26, The [???] focuses on training through hands-on experience with established artists., [m] фокусируется на обучении посредством практического опыта с известными артистами., [m] skupia się na treningu poprzez praktyczne doświadczenie z uznanymi artystami., [m] факусуюць на навучанні праз практычны вопыт з вядомымі мастакамі., [m] зосереджується на навчанні через практичний досвід з визнаними артистами., [m] се фокусира върху обучението чрез практически опит с утвърдени артисти., [m] se osredotoča na usposabljanje prek praktičnih izkušenj z uveljavljenimi umetniki., [m] se zaměřuje na školení prostřednictvím praktických zkušeností se zavedenými umělci.
27," In addition to all this, the [???] continue to make frequent appearances on each other 's solo albums.", В дополнение ко всему этому [n] продолжает часто появляться на сольных альбомах друг друга., Oprócz tego [n] nadal często pojawia się na swoich solowych albumach., У дадатак да ўсяго гэтага [pl] працягваюць часта выступаць на сольных альбомах адзін аднаго., На додаток до всього цього [n] продовжує часто виступати на сольних альбомах один одного.," В допълнение към всичко това, [n] продължават да се появяват често в солови албуми на другия.", Poleg vsega tega se [n] še naprej pogosto pojavlja na samostojnih albumih drug drugega., K tomu všemu [f] nadále často vystupuje na svých sólových albech.
28," [???] remains a fixture of radio play lists and is one of the world 's best-selling bands, having sold over 375 million records worldwide, making them the fourth best-selling popular music artists in the history of recorded music."," [m] остается неотъемлемой частью плейлистов на радио и является одной из самых продаваемых групп в мире, продавших более 375 миллионов пластинок по всему миру, что делает их четвертыми самыми продаваемыми исполнителями популярной музыки в истории записываемой музыки."," [m] pozostaje stałym elementem list słuchowisk radiowych i jest jednym z najlepiej sprzedających się zespołów na świecie, sprzedając ponad 375 milionów płyt na całym świecie, co czyni go czwartym najlepiej sprzedającym się wykonawcą muzyki popularnej w historii nagrań muzycznych."," [m] застаецца неад'емнай часткай спісаў радыё і з'яўляецца адным з самых прадаваных гуртоў у свеце, прадаўшы больш за 375 мільёнаў пласцінак па ўсім свеце, што робіць іх чацвёртымі па продажы выканаўцамі папулярнай музыкі ў гісторыі запісанай музыкі."," [m] залишається невід'ємною частиною списків відтворення на радіо і є однією з найбільш продаваних груп у світі, продавши понад 375 мільйонів записів по всьому світу, що робить їх четвертими найбільш продаваними виконавцями популярної музики в історії записаної музики."," [m] остава неизменна част от списъците с радио музика и е една от най-продаваните банди в света, като е продала над 375 милиона записа по целия свят, което ги прави четвъртите най-продавани популярни музикални изпълнители в историята на записаната музика."," [m] ostaja stalnica radijskih seznamov predvajanja in je ena izmed najbolje prodajanih svetovnih zasedb, saj je prodala več kot 375 milijonov plošč po vsem svetu, zaradi česar so četrti najbolje prodajani izvajalci popularne glasbe v zgodovini posnete glasbe."," [m] zůstává stálicí seznamů rozhlasových skladeb a je jednou z nejprodávanějších kapel na světě, po celém světě se prodalo přes 375 milionů desek, což z nich dělá čtvrté nejprodávanější umělce populární hudby v historii reprodukované hudby."
29," [???] has never officially announced the end of the group, but the group has long been considered dissolved."," [m] никогда официально не объявлял о закрытии группы, но группа долгое время считалась распущенной."," [m] nigdy oficjalnie nie ogłosił końca grupy, ale grupa od dawna była uważana za rozwiązaną."," [m] ніколі афіцыйна не абвяшчаў аб спыненні групы, але група доўгі час лічылася распушчанай."," [m] ніколи офіційно не оголошував про закінчення групи, але групу тривалий час вважали розпущеною."," [m] никога не е обявил официално края на групата, но групата отдавна се смята за разпусната."," [m] ni nikoli uradno objavil konca skupine, vendar je skupina že dolgo veljala za razpuščeno."," [m] nikdy oficiálně neoznámil konec skupiny, ale skupina byla dlouho považována za rozpuštěnou."
30," [???] has approximately 40,000 students in the city and 30,000 students at the university with approximately 5,000 new students per year.","[n] насчитывает около 40 000 студентов в городе и 30 000 студентов в университете, при этом ежегодно обучается около 5 000 новых студентов.","[n] ma około 40 000 studentów w mieście i 30 000 studentów na uniwersytecie, z około 5 000 nowych studentów rocznie.","""[n]"" мае прыкладна 40 000 студэнтаў у горадзе і 30 000 студэнтаў ва ўніверсітэце з прыкладна 5 000 новых студэнтаў у год.",[n] має приблизно 40 000 студентів у місті та 30 000 студентів в університеті з приблизно 5 000 нових студентів на рік.,[n] има приблизително 40 000 студенти в града и 30 000 студенти в университета с приблизително 5 000 нови студенти годишно.,[n] ima približno 40.000 študentov v mestu in 30.000 študentov na univerzi s približno 5.000 novimi študenti na leto.,[f] má přibližně 40 000 studentů ve městě a 30 000 studentů na univerzitě s přibližně 5 000 novými studenty ročně.
31," The [???] has about 2,200 personnel.", В [n] около 2200 сотрудников., [m] ma około 2200 pracowników.," У ""[n]"" каля 2200 чалавек.", У [pl] близько 2200 співробітників.," В ""[m]"" има около 2200 служители.", [m] ima približno 2200 zaposlenih., [m] má asi 2200 zaměstnanců.
32," To this end, the [???] holds yearly military command exercises for the [???] nations to have an opportunity to improve inter-organisation cooperation."," С этой целью [m] проводит ежегодные военно-командные учения для стран ""[m]"", чтобы иметь возможность улучшить межорганизационное сотрудничество."," W tym celu [m] organizuje coroczne ćwiczenia dowodzenia wojskowego dla narodów ""[n]"", aby mieć możliwość usprawnienia współpracy między organizacjami."," З гэтай мэтай [m] штогод праводзіць вучэнні ваеннага камандавання для краін ""[m]"", каб мець магчымасць палепшыць міжарганізацыйнае супрацоўніцтва."," З цією метою [m] проводить щорічні військові командні навчання для країн ""[n]"", щоб мати можливість покращити міжорганізаційне співробітництво."," За тази цел [m] провежда годишни военни командни учения за ""[n]"" нации, за да имат възможност да подобрят сътрудничеството между организациите."," V ta namen [m] vsako leto izvaja vojaške poveljniške vaje za ""[n]"" narode, da bi imeli priložnost za izboljšanje medorganizacijskega sodelovanja."," Za tímto účelem pořádá [m] každoročně vojenská velitelská cvičení pro ""[n]"" národy, aby měly příležitost zlepšit spolupráci mezi organizacemi."
33," The [???] employs a "" rotating presidency "" system in which the country leading the [???] alternates every year."," [n] использует систему «переменного президентства», в которой страна, возглавляющая [n], меняется каждый год."," [n] stosuje system „rotacyjnej prezydencji”, w którym co roku zmienia się kraj prowadzący [n]."," [pl] выкарыстоўвае сістэму «паваротнага старшынства», у якой краіна, якая ўзначальвае [pl], штогод змяняецца."," [n] використовує систему «поворотного президентства», в якій країна, що очолює [n], змінюється щороку."," [n] използва система на ""ротиращо председателство"", при която страната, водеща [n], се сменя всяка година."," [n] uporablja sistem ""rotacijskega predsedovanja"", v katerem se država, ki vodi [n], menja vsako leto."," [f] zaměstnává systém „rotujícího předsednictví“, ve kterém se země v čele [pl] každý rok střídá."
34, The lead vocalist for the pirate metal band [???] plays a keytar and often uses it to make accordion sounds., Ведущий вокалист пиратской метал-группы [pl] играет на клавиатуре и часто использует ее для создания звуков аккордеона., Główny wokalista pirackiego zespołu metalowego [m] gra na klawiszach i często używa go do tworzenia dźwięków akordeonu.," Вакаліст пірат-метал-гурта ""[m]"" іграе на клавіятуры і часта выкарыстоўвае яе, каб ствараць гукі акардэона."," Головний вокаліст піратської метал-групи ""[n]"" грає на клавішному та часто використовує його, щоб створювати звуки акордеона."," Водещият вокалист на пиратската метъл група [m] свири на клавишен тар и често го използва, за да прави звуци на акордеон.", Glavni vokalist piratske metal skupine [m] igra keytar in jo pogosto uporablja za ustvarjanje zvokov harmonike., Hlavní zpěvák pirátské metalové kapely [m] hraje na klávesu a často ji používá k vytváření zvuků akordeonu.
35," To determine the affected population, the [???] defines extreme poverty as living on less than USD $ 1.25 per day ( adjusted for PPP)."," Чтобы определить пострадавшее население, [m] определяет крайнюю бедность как жизнь менее чем на 1,25 доллара США в день (с поправкой на ППС)."," Aby określić dotkniętą populację, [m] definiuje skrajne ubóstwo jako życie za mniej niż 1,25 USD dziennie (po uwzględnieniu PPP)."," Каб вызначыць колькасць пацярпелага насельніцтва, [m] вызначае крайнюю беднасць як жыццё менш чым на 1,25 долара ЗША ў дзень (з папраўкай на ППС)."," Щоб визначити постраждале населення, [m] визначає крайню бідність як життя на менше ніж 1,25 доларів США на день (з поправкою на ППС)."," За да определи засегнатото население, [m] дефинира крайната бедност като живот с по-малко от 1,25 щатски долара на ден (коригирани за ППС)."," Za določitev prizadete populacije [m] definira skrajno revščino kot življenje z manj kot 1,25 USD na dan (popravljeno za PKM)."," Pro určení postižené populace [m] definuje extrémní chudobu jako život za méně než 1,25 USD na den (přepočteno na PPP)."
36," [???] is home to 27,945 students ( Fall 2009) and makes up approximately one half of the city 's population.", [n] является домом для 27 945 студентов (осень 2009 г.) и составляет примерно половину населения города., [n] jest domem dla 27 945 studentów (jesień 2009) i stanowi około połowy populacji miasta.," ""[n]"" пражывае 27 945 студэнтаў (восень 2009 г.) і складае прыкладна палову насельніцтва горада.", [n] є домом для 27 945 студентів (осінь 2009 р.) і становить приблизно половину населення міста., [n] е дом на 27 945 студенти (есен 2009 г.) и съставлява приблизително половината от населението на града., [f] je dom 27.945 študentov (jesen 2009) in predstavlja približno polovico mestnega prebivalstva., [f] je domovem 27 945 studentů (podzim 2009) a tvoří přibližně polovinu populace města.
37," The [???] is a meritocracy, implying that membership to the foundation is granted only to volunteers who have actively contributed to [???] projects."," [m] - это меритократия, подразумевающая, что членство в фонде предоставляется только добровольцам, которые активно участвовали в проектах [m]."," [m] jest merytokracją, co oznacza, że ​​członkostwo w fundacji przysługuje tylko wolontariuszom, którzy aktywnie przyczynili się do ""[n]"" projektów."," [m] з'яўляецца мерытакратыяй, маючы на ​​ўвазе, што членства ў фундацыі прадастаўляецца толькі валанцёрам, якія актыўна ўдзельнічаюць у праектах ""[m]""."," [m] — це меритократія, що означає, що членство у фонді надається лише волонтерам, які активно брали участь у проектах ""[n]""."," [m] е меритокрация, което предполага, че членството във фондацията се предоставя само на доброволци, които са участвали активно в проекти на ""[m]""."," [m] je meritokracija, kar pomeni, da je članstvo v fundaciji podeljeno samo prostovoljcem, ki so aktivno prispevali k ""[n]"" projektom."," [m] je meritokracie, což znamená, že členství v nadaci je uděleno pouze dobrovolníkům, kteří aktivně přispěli do ""[n]"" projektů."
