,pl,be,uk,ru,bg,sl,cs,en
96,Belgrad,Бялград,Белград,Белград,Белград,Beograd,Bělehrad,Belgrade
97,Belfast,Белфаст,Белфаст,Белфаст,Белфаст,Belfast,Belfast,Belfast
98,Belmopan,Бельмапан,Бельмопан,Бельмопан,Белмопан,Belmopan,Belmopan,Belmopan
99,Berlin,Берлін,Берлін,Берлин,Берлин,Berlin,Berlín,Berlin
100,Berno,Берн,Берн,Берн,Берн,Bern,Bern,Bern
101,Brazzaville,Бразавіль,Браззавіль,Браззавиль,Бразавил,Brazzaville,Brazzaville,Brazzaville
102,Brasília,Бразілія,Бразиліа,Бразилиа,Бразилия,Brasilia,Brasília,Brazil
103,Bratysława,Браціслава,Братислава,Братислава,Братислава,Bratislava,Bratislava,Bratislava
104,Bruksela,Брусель,Брюссель,Брюссель,Брюксел,Bruselj,Brusel,Brussels
105,Bridgetown,Брыджтаўн,Бриджтаун,Бриджтаун,Бриджтаун,Bridgetown,Bridgetown,Bridgetown
106,Brisbane,Брысбен,Брисбен,Брисбен,Бризбън,Brisbane,Brisbane,Brisbane
107,Budapeszt,Будапешт,Будапешт,Будапешт,Будапеща,Budimpešta,Budapešť,Budapest
108,Bużumbura,Бужумбура,Бужумбура,Бужумбура,Бужумбура,Bujumbura,Bujumbura,Bujumbura
109,Bukareszt,Бухарэст,Бухарест,Бухарест,Букурещ,Bukarešta,Bukurešť,Bucharest
110,Buenos Aires,Буэнас-Айрэс,Буенос-Айрес,Буэнос-Айрес,Буенос Айрес,Buenos Aires,Buenos Aires,Buenos Aires
111,Bhopal,Бхапал,Бхопал,Бхопал,Бопал,Bhopāl,Bhópál,Bhopal
112,Bilbao,Більбаа,Більбао,Бильбао,Билбао,Bilbao,Bilbao,Bilbao
113,Bissau,Бісау,Бісау,Бисау,Бисау,Bissau,Bissau,Bissau
114,Biszkek,Бішкек,Бішкек,Бишкек,Бишкек,Biškek,Biškek,Bishkek
115,Wientian,В’енцьян,В'єнтьян,Вьентьян,Виентян,Vientiane,Vientiane,Vientiane
116,Vaduz,Вадуц,Вадуц,Вадуц,Вадуц,Vaduz,Vaduz,Vaduz
117,Valletta,Валета,Валлетта,Валлетта,Валета,Valletta,Valletta,Valletta
118,Vancouver,Ванкувер,Ванкувер,Ванкувер,Ванкувър,Vancouver,Vancouver,Vancouver
119,Warszawa,Варшава,Варшава,Варшава,Варшава,Varšava,Varšava,Warsaw
120,Watykan,Ватыкан,Ватикан,Ватикан,Ватикан,Vatikan,Vatikán,Vatican City
121,Waszyngton,Вашынгтон,Вашингтон,Вашингтон,Вашингтон,Washington,"Washington, D.C.",Washington
122,Wellington,Уэлінгтан,Веллінгтон,Веллингтон,Уелингтън,Wellington,Wellington,Wellington
123,Wiedeń,Вена,Відень,Вена,Виена,Dunaj,Vídeň,Vienna
124,Victoria,Вікторыя,Вікторія,Виктория,Виктория,Viktorija,Victoria,Queen Victoria
125,Windhuk,Віндхук,Віндгук,Виндхук,Виндхук,Windhoek,Windhoek,Windhoek
126,Gaborone,Габаронэ,Габороне,Габороне,Габороне,Gaborone,Gaborone,Gaborone
127,Hawana,Гавана,Гавана,Гавана,Хавана,Havana,Havana,Havana
128,Halifax,Галіфакс,Галіфакс,Галифакс,Халифакс,Halifax,Halifax,Halifax
129,Hamburg,Гамбург,Гамбург,Гамбург,Хамбург,Hamburg,Hamburk,Hamburg
130,Guadalajara,Гвадалахара,Гвадалахара,Гвадалахара,Гуадалахара,Guadalajara,Guadalajara,Guadalajara
131,Gwatemala,Гватэмала,Гватемала,Гватемала,Гватемала,Gvatemala,Ciudad de Guatemala,Guatemala
132,Gdańsk,Гданьск,Гданськ,Гданьск,Гданск,Gdansk,Gdaňsk,Gdańsk
133,Genua,Генуя,Генуя,Генуя,Генуа,Genova,Janov,Genoa
134,Göteborg,Гётэбарг,Гетеборг,Гётеборг,Гьотеборг,Göteborg,Göteborg,Gothenburg
135,Dhaka,Дака,Дакка,Дакка,Дака,Daka,Dháka,Dhaka
136,Dakar,Дакар,Дакар,Дакар,Дакар,Dakar,Dakar,Dakar
137,Dar es Salaam,Дар-эс-Салам,Дар-ес-Салам,Дар-эс-Салам,Дар ес-Салаам,Dar es Salaam,Dar es Salaam,Dar es Salaam
138,Dżakarta,Джакарта,Джакарта,Джакарта,Джакарта,Džakarta,Jakarta,Jakarta
139,Dżibuti,Джыбуці,Джибуті,Джибути,Джибути,Džibuti,Džibuti,Djibouti
140,Düsseldorf,Дзюсельдорф,Дюссельдорф,Дюссельдорф,Дюселдорф,Düsseldorf,Düsseldorf,Düsseldorf
141,Doha,Доха,Доха,Доха,Доха,Doha,Dauhá,Doha
142,Duala,Дуала,Дуала,Дуала,Дуала,Douala,Douala,Douala
143,Dubaj,Дубай,Дубай,Дубай,Дубай,Dubaj,Dubaj,Dubai
144,Dublin,Дублін,Дублін,Дублин,Дъблин,Dublin,Dublin,Dublin
145,Douglas,Дуглас,Дуглас,Дуглас,Дъглас,Douglas,Douglas,Douglas
146,Durban,Дурбан,Дурбан,Дурбан,Дърбан,Durban,Durban,Durban
147,Duszanbe,Душанбэ,Душанбе,Душанбе,Душанбе,Dušanbe,Dušanbe,Dushanbe
148,Jekaterynburg,Екацярынбург,Єкатеринбург,Екатеринбург,Екатеринбург,Jekaterinburg,Jekatěrinburg,Yekaterinburg
149,Erywań,Ерэван,Єреван,Ереван,Ереван,Erevan,Jerevan,Yerevan
150,Genewa,Жэнева,Женева,Женева,Женева,Ženeva,Ženeva,Geneva
151,Zagrzeb,Заграб,Загреб,Загреб,Загреб,Zagreb,Záhřeb,Zagreb
152,Salzburg,Зальцбург,Зальцбург,Зальцбург,Залцбург,Salzburg,Salcburk,Salzburg
153,Johannesburg,Яганэсбург,Йоганнесбург,Йоханнесбург,Йоханесбург,Johannesburg,Johannesburg,Johannesburg
154,Jokohama,Якагама,Йокогама,Иокогама,Йокохама,Jokohama,Jokohama,Yokohama
155,Kabul,Кабул,Кабул,Кабул,Кабул,Kabul,Kábul,Kabul
156,Calgary,Калгары,Калгарі,Калгари,Калгари,Calgary,Calgary,Calgary
157,Kolombo,Каломба,Коломбо,Коломбо,Коломбо,Kolombo,Kolombo,Colombo
158,Kolkata,Калькута,Колката,Калькутта,Колката,Kalkuta,Kalkata,Kolkata
159,Kampala,Кампала,Кампала,Кампала,Кампала,Kampala,Kampala,Kampala
160,Konakry,Конакры,Конакрі,Конакри,Конакри,Conakry,Konakry,Conakry
161,Canberra,Канбера,Канберра,Канберра,Канбера,Canberra,Canberra,Canberra
162,Kanton,Кантон,Ґуанчжоу,Гуанчжоу,Гуанджоу,Guangdžov,Kanton,Guangzhou
163,Kopenhaga,Капенгаген,Копенгаген,Копенгаген,Копенхаген,København,Kodaň,Copenhagen
164,Caracas,Каракас,Каракас,Каракас,Каракас,Caracas,Caracas,Caracas
165,Karaczi,Карачы,Карачі,Карачи,Карачи,Karači,Karáčí,Karachi
166,Casablanca,Касабланка,Касабланка,Касабланка,Казабланка,Casablanca,Casablanca,Casablanca
167,Castries,Кастры,Кастрі,Кастри,Кастрийс,Castries,Castries,Castries
168,Katmandu,Катманду,Катманду,Катманду,Катманду,Katmandu,Káthmándú,Kathmandu
169,Kair,Каір,Каїр,Каир,Кайро,Kairo,Káhira,Cairo
170,Québec,Квебек,Квебек,Квебек,Квебек,Québec,Québec,Quebec
171,Kobe,Кобэ,Кобе,Кобе,Кобе,Kobe,Kóbe,Kobe
172,Kraków,Кракаў,Краків,Краков,Краков,Krakov,Krakov,Kraków
173,Kuala Lumpur,Куала-Лумпур,Куала-Лумпур,Куала-Лумпур,Куала Лумпур,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur
174,Kuwejt,Кувейт,Ель-Кувейт,Эль-Кувейт,Кувейт,Kuvajt,Kuvajt,Kuwait
175,Kigali,Кігалі,Кігалі,Кигали,Кигали,Kigali,Kigali,Kigali
176,Kingston,Кінгстан,Кінгстон,Кингстон,Кингстън,Kingston,Kingston,Kingston
177,Kingstown,Кінгстаўн,Кінгстаун,Кингстаун,Кингстаун,Kingstown,Kingstown,Kingstown
178,Kinszasa,Кіншаса,Кіншаса,Киншаса,Киншаса,Kinšasa,Kinshasa,Kinshasa
179,Quito,Кіта,Кіто,Кито,Кито,Quito,Quito,Quito
180,Kiszyniów,Кішынёў,Кишинів,Кишинёв,Кишинев,Kišinjev,Kišiněv,Chișinău
181,Lipsk,Лейпцыг,Лейпциг,Лейпциг,Лайпциг,Leipzig,Lipsko,Leipzig
182,Petersburg,Ленінград,Санкт-Петербург,Санкт-Петербург,Санкт Петербург,Sankt Peterburg,Petrohrad,Saint Petersburg
183,Lomé,Ламэ,Ломе,Ломе,Ломе,Lomé,Lomé,Lomé
184,Londyn,Лондан,Лондон,Лондон,Лондон,London,Londýn,London
185,Luanda,Луанда,Луанда,Луанда,Луанда,Luanda,Luanda,Luanda
186,Lusaka,Лусака,Лусака,Лусака,Лусака,Lusaka,Lusaka,Lusaka
187,Lublana,Любляна,Любляна,Любляна,Любляна,Ljubljana,Lublaň,Ljubljana
188,Libreville,Лібрэвіль,Лібревіль,Либревиль,Либревил,Libreville,Libreville,Libreville
189,Lilongwe,Лілонгвэ,Лілонгве,Лилонгве,Лилонгве,Lilongwe,Lilongwe,Lilongwe
190,Lima,Ліма,Ліма,Лима,Лима,Lima,Lima,Lima
191,Lizbona,Лісабон,Лісабон,Лиссабон,Лисабон,Lizbona,Lisabon,Lisbon
192,Mogadiszu,Магадзіша,Могадішо,Могадишо,Могадишу,Mogadiš,Mogadišo,Mogadishu
193,Ćennaj,Чэнаі,Ченнаї,Ченнаи,Ченай,Chennai,Čennaí,Chennai
194,Madryt,Мадрыд,Мадрид,Мадрид,Мадрид,Madrid,Madrid,Madrid
195,Malabo,Малаба,Малабо,Малабо,Малабо,Malabo,Malabo,Malabo
196,Male,Мале,Мале,Мале,Мале,Malé,Male,Malé
197,Mombasa,Мамбаса,Момбаса,Момбаса,Момбаса,Mombasa,Mombasa,Mombasa
198,Manama,Манама,Манама,Манама,Манама,Manama,Manáma,Manama
199,Monrovia,Манровія,Монровія,Монровия,Монровия,Monrovija,Monrovia,Monrovia
200,Montreal,Манрэаль,Монреаль,Монреаль,Монреал,Montréal,Montréal,Montreal
201,Montevideo,Мантэвідэа,Монтевідео,Монтевидео,Монтевидео,Montevideo,Montevideo,Montevideo
202,Manila,Маніла,Маніла,Манила,Манила,Manila,Manila,Manila
203,Maputo,Мапуту,Мапуту,Мапуту,Мапуто,Maputo,Maputo,Maputo
204,Moroni,Мароні,Мороні,Морони,Морони,Moroni,Moroni,Moroni
205,Marsylia,Марсель,Марсель,Марсель,Марсилия,Marseille,Marseille,Marseille
206,Maseru,Масеру,Масеру,Масеру,Масеру,Maseru,Maseru,Maseru
207,Moskwa,Масква,Москва,Москва,Москва,Moskva,Moskva,Moscow
208,Mbabane,Мбабанэ,Мбабане,Мбабане,Мбабане,Mbabane,Mbabane,Mbabane
209,Mekka,Мекка,Мекка,Мекка,Мека,Meka,Mekka,Mecca
210,Melbourne,Мельбурн,Мельбурн,Мельбурн,Мелбърн,Melbourne,Melbourne,Melbourne
211,Meksyk,Мехіка,Мехіко,Мехико,Мексико,Ciudad de México,Ciudad de México,Mexico
212,Maskat,Маскат,Маскат,Маскат,Маскат,Muškat,Maskat,Muscat
213,Monachium,Мюнхен,Мюнхен,Мюнхен,Мюнхен,München,Mnichov,Munich
214,Mediolan,Мілан,Мілан,Милан,Милано,Milano,Milán,Milan
215,Niamey,Ніямей,Ніамей,Ниамей,Ниамей,Niamey,Niamey,Niamey
216,Nairobi,Найробі,Найробі,Найроби,Найроби,Nairobi,Nairobi,Nairobi
217,Nassau,Насау,Нассау,Нассау,Насау,Nassau,Nassau,Nassau
218,Ndżamena,Нджамена,Нджамена,Нджамена,Нджамена,N'Djamena,N'Djamena,N'Djamena
219,Neapol,Неапаль,Неаполь,Неаполь,Неапол,Neapelj,Neapol,Naples
220,Nawakszut,Нуакшот,Нуакшот,Нуакшот,Нуакшот,Nouakchott,Nuakšott,Nouakchott
221,Nukuʻalofa,Нукуалофа,Нукуалофа,Нукуалофа,Нукуалофа,Nukuʻalofa,Nuku'alofa,Nukuʻalofa
222,Nowe Delhi,Нью-Дэлі,Нью-Делі,Нью-Дели,Ню Делхи,New Delhi,Nové Dillí,New Delhi
223,Osaka,Осака,Осака,Осака,Осака,Osaka,Ósaka,Osaka
224,Oslo,Осла,Осло,Осло,Осло,Oslo,Oslo,Oslo
225,Palermo,Палерма,Палермо,Палермо,Палермо,Palermo,Palermo,Palermo
226,Palikir,Палікір,Палікір,Паликир,Паликир,Palikir,Palikir,Palikir
227,Panama,Панама,Панама,Панама,Панама,Panama,Panamá,Panama
228,Paramaribo,Парамарыба,Парамарибо,Парамарибо,Парамарибо,Paramaribo,Paramaribo,Paramaribo
229,Paryż,Парыж,Париж,Париж,Париж,Pariz,Paříž,Paris
230,Pekin,Пекін,Пекін,Пекин,Пекин,Peking,Peking,Beijing
231,Perth,Перт,Перт,Перт,Пърт,Perth,Perth,Perth
232,Phnom Penh,Пнампень,Пномпень,Пномпень,Пном Пен,Phnom Penh,Phnompenh,Phnom Penh
233,Poznań,Познань,Познань,Познань,Познан,Poznanj,Poznaň,Poznań
234,Port Vila,Порт-Віла,Порт-Віла,Порт-Вила,Порт Вила,Port Vila,Port Vila,Port Vila
235,Port Louis,Порт-Луі,Порт-Луї,Порт-Луи,Порт Луи,Port Louis,Port Louis,Port Louis
236,Port Moresby,Порт-Морсбі,Порт-Морсбі,Порт-Морсби,Порт Морсби,Port Moresby,Port Moresby,Port Moresby
237,Port-of-Spain,Порт-оф-Спейн,Порт-оф-Спейн,Порт-оф-Спейн,Порт ъф Спейн,Port of Spain,Port of Spain,Port of Spain
238,Porto-Novo,Порта-Нова,Порто-Ново,Порто-Ново,Порто Ново,Porto-Novo,Porto Novo,Porto-Novo
239,Praga,Прага,Прага,Прага,Прага,Praga,Praha,Prague
240,Praia,Прая,Прая,Прая,Прая,Praia,Praia,Praia
241,Pjongjang,Пхеньян,Пхеньян,Пхеньян,Пхенян,Pjongjang,Pchjongjang,Pyongyang
242,Rabat,Рабат,Рабат,Рабат,Рабат,Rabat,Rabat,Rabat
243,Rangun,Янгон,Янгон,Янгон,Янгон,Jangon,Rangún,Yangon
244,Rio de Janeiro,Рыа-дэ-Жанэйра,Ріо-де-Жанейро,Рио-де-Жанейро,Рио де Жанейро,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro
245,Ryga,Рыга,Рига,Рига,Рига,Riga,Riga,Riga
246,Rzym,Рым,Рим,Рим,Рим,Rim,Řím,Rome
247,Rijad,Рыяд,Ер-Ріяд,Эр-Рияд,Рияд,Riad,Rijád,Riyadh
248,Reykjavík,Рэйк’явік,Рейк'явік,Рейкьявик,Рейкявик,Reykjavik,Reykjavík,Reykjavík
249,Ho Chi Minh,Сайгон,Хошимін,Хошимин,Хошимин,Hošiminh,Ho Či Minovo Město,Ho Chi Minh City
250,San Marino,Сан-Марына,Сан-Марино,Сан-Марино,Сан Марино,San Marino,San Marino,San Marino
251,São Paulo,Сан-Паулу,Сан-Паулу,Сан-Паулу,Сао Пауло,São Paulo,São Paulo,São Paulo
252,San Salvador,Сан-Сальвадор,Сан-Сальвадор,Сан-Сальвадор,Сан Салвадор,San Salvador,San Salvador,San Salvador
253,San José,Сан-Хасэ,Сан-Хосе,Сан-Хосе,Сан Хосе,San José,San José,San José
254,San Juan,Сан-Хуан,Сан-Хуан,Сан-Хуан,Сан Хуан,San Juan,San Juan,San Juan
255,Santiago,Сант’яга,Сантьяго,Сантьяго,Сантяго де Чиле,Santiago de Chile,Santiago de Chile,Santiago
256,Santo Domingo,Санта-Дамінга,Санто-Домінго,Санто-Доминго,Санто Доминго,Santo Domingo,Santo Domingo,Santo Domingo
257,Sarajewo,Сараева,Сараєво,Сараево,Сараево,Sarajevo,Sarajevo,Sarajevo
258,Sofia,Сафія,Софія,София,София,Sofija,Sofie,Sofia
259,Saint George’s,Сент-Джорджэс,Сент-Джорджес,Сент-Джорджес,Сейнт Джорджис,St. George's,Saint George's,St. George's
260,Seul,Сеул,Сеул,Сеул,Сеул,Seul,Soul,Seoul
261,Skopje,Скоп’е,Скоп'є,Скопье,Скопие,Skopje,Skopje,Skopje
262,Sztokholm,Стакгольм,Стокгольм,Стокгольм,Стокхолм,Stockholm,Stockholm,Stockholm
263,Stambuł,Стамбул,Стамбул,Стамбул,Истанбул,Carigrad,Istanbul,Istanbul
264,Strasburg,Страсбур,Страсбург,Страсбург,Страсбург,Strasbourg,Štrasburk,Strasbourg
265,Suva,Сува,Сува,Сува,Сува,Suva,Suva,Suva
266,Surabaja,Сурабая,Сурабая,Сурабая,Сурабая,Surabaja,Surabaja,Surabaya
267,Sydney,Сідней,Сідней,Сидней,Сидни,Sydney,Sydney,Sydney
268,Tallinn,Талін,Таллінн,Таллин,Талин,Talin,Tallinn,Tallinn
269,Tanger,Танжэр,Танжер,Танжер,Танжер,Tanger,Tanger,Tangier
270,Toronto,Таронта,Торонто,Торонто,Торонто,Toronto,Toronto,Toronto
271,Taszkent,Ташкент,Ташкент,Ташкент,Ташкент,Taškent,Taškent,Tashkent
272,Tbilisi,Тбілісі,Тбілісі,Тбилиси,Тбилиси,Tbilisi,Tbilisi,Tbilisi
273,Tokio,Токіа,Токіо,Токио,Токио,Tokio,Tokio,Tokyo
274,Trypolis,Трыпалі,Триполі,Триполи,Триполи,Tripoli,Tripolis,Tripoli
275,Tunis,Туніс,Туніс,Тунис,Тунис,Tunis,Tunis,Tunisia
276,Turyn,Турын,Турин,Турин,Торино,Torino,Turín,Turin
277,Tirana,Тырана,Тирана,Тирана,Тирана,Tirana,Tirana,Tirana
278,Teheran,Тэгеран,Тегеран,Тегеран,Техеран,Teheran,Teherán,Tehran
279,Tegucigalpa,Тэгусігальпа,Тегусігальпа,Тегусигальпа,Тегусигалпа,Tegucigalpa,Tegucigalpa,Tegucigalpa
280,Tel Awiw-Jafa,Тэль-Авіў,Тель-Авів,Тель-Авив,Тел Авив,Tel Aviv,Tel Aviv,Tel Aviv
281,Wagadugu,Уагадугу,Уагадугу,Уагадугу,Уагадугу,Ouagadougou,Ouagadougou,Ouagadougou
