,pl,be,uk,ru,bg,sl,cs
10, [???] jest domem dla 27 945 studentów (jesień 2009) i stanowi około połowy populacji miasta., [???] з'яўляецца домам для 27 945 студэнтаў (восень 2009 г.) і складае прыкладна палову насельніцтва горада., [???] є домом для 27 945 студентів (осінь 2009 року) і становить приблизно половину населення міста., [???] является домом для 27 945 студентов (осень 2009 г.) и составляет примерно половину населения города., [???] е дом на 27 945 студенти (есен 2009 г.) и съставлява приблизително половината от населението на града., [???] je dom 27.945 študentov (jesen 2009) in predstavlja približno polovico mestnega prebivalstva., [???] je domovem 27 945 studentů (podzim 2009) a tvoří přibližně polovinu populace města.
11, W 2008 roku [???] wyda kompilację swojego electro-rapowego materiału z lat 80-tych., У 2008 годзе [???] выпусціць зборнік свайго электра-рэпавага матэрыялу 1980-х., У 2008 році [???] випустить збірку свого електро-репу 1980-х років., В 2008 году [???] выпустит сборник своего электро-рэпа 80-х., През 2008 г. [???] ще пусне компилация от своя електро-рап материал от 1980-те., Leta 2008 bo [???] izdal kompilacijo svojega elektro-rap materiala iz osemdesetih let prejšnjega stoletja., V roce 2008 [???] vydá kompilaci svého elektro-rapového materiálu z 80. let.
12," [???] to merytokracja, co oznacza, że ​​członkostwo w fundacji jest przyznawane tylko wolontariuszom, którzy aktywnie przyczynili się do [???] projektów."," [???] з'яўляецца мерытакратыяй, маючы на ​​ўвазе, што членства ў фундацыі прадастаўляецца толькі валанцёрам, якія актыўна ўдзельнічаюць у праектах [???]."," [???] — це меритократія, що означає, що членство у фундації надається лише волонтерам, які активно брали участь у проектах [???]."," [???] - это меритократия, подразумевающая, что членство в фонде предоставляется только добровольцам, которые активно участвовали в проектах [???]."," [???] е меритокрация, което предполага, че членството във фондацията се предоставя само на доброволци, които активно са допринесли за [???] проекти."," [???] je meritokracija, kar pomeni, da je članstvo v fundaciji podeljeno samo prostovoljcem, ki so aktivno prispevali k [???] projektom."," [???] je meritokracie, což znamená, že členství v nadaci je uděleno pouze dobrovolníkům, kteří aktivně přispěli k projektům [???]."
13, [???] jest uważana za organizację o otwartym kodzie źródłowym drugiej generacji., [???] лічыцца арганізацыяй з адкрытым зыходным кодам другога пакалення., [???] вважається організацією з відкритим кодом другого покоління., [???] считается организацией с открытым исходным кодом второго поколения., [???] се счита за организация с отворен код от второ поколение., [???] velja za drugo generacijo odprtokodne organizacije., [???] je považována za druhou generaci open-source organizace.
14, [???] niewątpliwie doprowadzi do szerszego objęcia pracowników niepełnosprawnych.," [???], несумненна, прывядзе да больш шырокага ахопу аслабленых супрацоўнікаў."," [???], безсумнівно, призведе до ширшого охоплення працівників з обмеженими можливостями."," [???], несомненно, приведет к более широкому охвату работников с ограниченными возможностями.", [???] несъмнено ще доведе до по-широк обхват на увредените служители., [???] bo nedvomno vodilo do širšega pokrivanja prizadetih zaposlenih., [???] nepochybně povede k širšímu pokrytí postižených zaměstnanců.
15," [???] jest najbardziej znany ze swojego internetowego pakietu oprogramowania, zwanego także [???], który umożliwia klientom dostęp do największej na świecie społeczności internetowej „ogrodzonym ogrodem” i ostatecznie dotarcie do Internetu jako całości."," [???] найбольш вядомы сваім онлайн-пакетам праграмнага забеспячэння, які таксама называецца [???], які дазволіў кліентам атрымаць доступ да найбуйнейшай у свеце інтэрнэт-супольнасці ""агароджанага саду"" і ў канчатковым выніку выйсці на інтэрнэт у цэлым."," [???] найбільш відомий своїм пакетом програмного забезпечення для Інтернету, який також називається [???], який дозволяв клієнтам отримати доступ до найбільшої у світі онлайн-спільноти «огородження саду» і врешті-решт отримати доступ до Інтернету в цілому."," [???] наиболее известен своим онлайн-пакетом программного обеспечения, также называемым [???], который позволил клиентам получить доступ к крупнейшему в мире онлайн-сообществу, обнесенному стеной, и в конечном итоге выйти на Интернет в целом."," [???] е най-известен със своя онлайн софтуерен пакет, наричан още [???], който позволява на клиентите да получат достъп до най-голямата онлайн общност в света „оградена градина“ и в крайна сметка да достигнат до интернет като цяло."," [???] je najbolj znan po svoji spletni programski zbirki, imenovani tudi [???], ki je strankam omogočila dostop do največje svetovne spletne skupnosti »vrtov z zidom« in sčasoma dostop do interneta kot celote."," [???] je nejlépe známý pro svou online softwarovou sadu, nazývanou také [???], která zákazníkům umožňovala přístup k největší světové online komunitě ""walled garden"" a nakonec oslovit internet jako celek."
16," [???] jest powszechnie określana jako partia socjaldemokratyczna, ale jej konstytucja stanowi, że jest to partia demokratyczno-socjalistyczna."," [???] звычайна апісваецца як сацыял-дэмакратычная партыя, але яе канстытуцыя вызначае, што гэта дэмакратычная сацыялістычная партыя."," [???] зазвичай описується як соціал-демократична партія, але її конституція передбачає, що це демократична соціалістична партія."," [???] обычно называют социал-демократической партией, но в ее конституции указано, что это демократическая социалистическая партия."," [???] обикновено се описва като социалдемократическа партия, но нейната конституция гласи, че това е демократична социалистическа партия."," [???] se običajno opisuje kot socialdemokratska stranka, vendar njena ustava določa, da je demokratična socialistična stranka."," [???] je běžně popisována jako sociálně demokratická strana, ale její ústava stanoví, že jde o demokratickou socialistickou stranu."
17, [???] jest największym eksporterem., [???] з'яўляецца найбуйнейшым экспарцёрам., [???] є найбільшим експортером., [???] является крупнейшим экспортером., [???] е най-големият износител., [???] je največji izvoznik., [???] je největším exportérem.
18," [???] to firma zajmująca się sprzedażą bezpośrednią i producent, który wykorzystuje marketing wielopoziomowy do sprzedaży różnych produktów, głównie na rynku zdrowia, urody i pielęgnacji domu."," [???] з'яўляецца кампаніяй прамых продажаў і вытворцам, які выкарыстоўвае шматузроўневы маркетынг для продажу розных прадуктаў, у першую чаргу на рынках здароўя, прыгажосці і догляду за домам."," [???] є компанією прямих продажів і виробником, який використовує багаторівневий маркетинг для продажу різноманітних продуктів, насамперед на ринках здоров'я, краси та догляду за домом."," [???] — компания прямых продаж и производитель, который использует многоуровневый маркетинг для продажи различных товаров, в первую очередь товаров для здоровья, красоты и ухода за домом."," [???] е компания за директни продажби и производител, който използва маркетинг на много нива, за да продава различни продукти, предимно на пазарите за здраве, красота и домашни грижи."," [???] je podjetje za neposredno prodajo in proizvajalec, ki uporablja trženje na več ravneh za prodajo različnih izdelkov, predvsem na trgih zdravja, lepote in nege na domu."," [???] je společnost a výrobce přímého prodeje, který využívá víceúrovňový marketing k prodeji různých produktů, především na trzích zdraví, krásy a domácí péče."
19, Ta nazwa to [???]., Гэта імя [???]., Це ім’я [???]., Это имя [???]., Това име е [???]., To ime je [???]., To jméno je [???].
20, [???] to jedyna marka sprzedaży bezpośredniej sklasyfikowana w kategorii „prestige”., [???] з'яўляецца адзіным брэндам прамых продажаў у катэгорыі «прэстыж».," [???] — єдиний бренд прямих продажів, що відноситься до категорії «престиж»."," [???] — единственный бренд прямых продаж, относящийся к категории «престиж»."," [???] е единствената марка за директни продажби, класифицирана в категорията ""престиж""."," [???] je edina blagovna znamka za neposredno prodajo, ki je uvrščena v kategorijo ""prestiž"".", [???] je jediná značka přímého prodeje zařazená do kategorie „prestiž“.
21, Dodatkowo [???] pracuje nad szczepionkami na choroby.," Акрамя таго, [???] працуе над вакцынамі супраць хвароб."," Крім того, [???] працює над вакцинами від хвороб."," Кроме того, [???] работает над вакцинами от болезней.", Освен това [???] работи върху ваксини за болести., Poleg tega [???] dela na cepivih za bolezni., Kromě toho [???] pracuje na vakcínách proti nemocem.
22, Co dokładnie [???] jest lub było przedmiotem sporu.," Што менавіта [???] ёсць ці было, застаецца спрэчным."," Що саме [???] є чи було, залишається спірним."," Что именно [???] есть или было, остается спорным."," Какво точно [???] е или е било, остава спорен."," Kaj točno [???] je ali je bilo, ostaja sporno."," Co přesně [???] je nebo bylo, zůstává sporné."
23," Ze względu na charakter swojej pracy prawnej, [???] jest często zaangażowana w spory sądowe przeciwko organom rządowym, które są generalnie chronione przed niekorzystnymi wyrokami finansowymi: miasto, stan lub agencja federalna może być zobowiązana do zmiany swoich przepisów lub zachowywania się inaczej , ale nie do zapłaty odszkodowania pieniężnego, z wyjątkiem wyraźnego zrzeczenia się prawa."," З-за характару сваёй юрыдычнай працы [???] часта ўдзельнічае ў судовым працэсе супраць дзяржаўных органаў, якія, як правіла, абаронены ад неспрыяльных грашовых рашэнняў: ад гарадскога, дзяржаўнага або федэральнага агенцтва можа спатрэбіцца змяніць законы або паводзіць сябе інакш , але не выплачваць грашовую кампенсацыю, за выключэннем выразнага закону адмовы."," Через характер своєї юридичної роботи [???] часто бере участь у судових процесах проти державних органів, які, як правило, захищені від несприятливих грошових суджень: від міського, штатного чи федерального агентства можуть вимагати змінити свої закони або діяти інакше , але не виплачувати грошову компенсацію за винятком явної законної відмови."," Из-за характера своей юридической работы [???] часто участвует в судебных процессах против государственных органов, которые, как правило, защищены от неблагоприятных денежных суждений: городское, государственное или федеральное агентство может быть обязано изменить свои законы или вести себя по-другому. , но не возмещать денежный ущерб, за исключением явного отказа, установленного законом."," Поради естеството на своята правна дейност, [???] често участва в съдебни спорове срещу правителствени органи, които обикновено са защитени от неблагоприятни парични присъди: може да се наложи градска, щатска или федерална агенция да промени своите закони или да се държи различно , но не и да заплаща парични вреди, освен чрез изричен законоустановен отказ."," Zaradi narave svojega pravnega dela je [???] pogosto vpleten v tožbe proti vladnim organom, ki so na splošno zaščiteni pred negativnimi denarnimi sodbami: od mestne, državne ali zvezne agencije se lahko zahteva, da spremeni svoje zakone ali se obnaša drugače , vendar ne plačati denarne odškodnine, razen z izrecno zakonsko odpovedjo."," Vzhledem k povaze své právní práce je [???] často zapojena do soudních sporů proti vládním orgánům, které jsou obecně chráněny před nepříznivými peněžními rozsudky: město, stát nebo federální úřad může být požádán, aby změnil své zákony nebo se choval jinak. , ale neplatit peněžitou škodu s výjimkou výslovného zákonného zřeknutí se."
24," Co więcej, natura [???] polega na tym, że bronią one nawet najbardziej niepopularnych form wypowiedzi i wypowiedzi, zwłaszcza tych, z którymi większość innych organizacji nie chciałaby się kojarzyć."," Акрамя таго, прырода [???] заключаецца ў тым, што яны абараняюць нават самыя непапулярныя формы маўлення і выказвання, асабліва тыя, з якімі большасць іншых арганізацый не жадаюць сябе звязваць."," Крім того, природа [???] полягає в тому, що вони захищають навіть найнепопулярніші форми мови та висловлювання, зокрема ті, з якими більшість інших організацій не хотіли б асоціювати себе."," Кроме того, природа [???] заключается в том, что они защищают даже самые непопулярные формы речи и выражения, особенно те, с которыми большинство других организаций не хотели бы ассоциировать себя."," Освен това естеството на [???] е, че те защитават дори най-непопулярните форми на реч и изразяване, особено тези, с които повечето други организации не биха искали да се свързват."," Poleg tega je narava [???] v tem, da branijo tudi najbolj nepriljubljene oblike govora in izražanja, predvsem tiste, s katerimi se večina drugih organizacij ne bi želela povezati."," Kromě toho je povahou [???] to, že hájí i ty nejnepopulárnější formy řeči a vyjadřování, zejména ty, se kterými by se většina ostatních organizací nechtěla spojovat."
25," [???] to trzyliterowy akronim, który może oznaczać:"," [???] - гэта трохлітарны акронім, які можа азначаць:"," [???] — це абревіатура з трьох літер, яка може означати:"," [???] — трехбуквенная аббревиатура, которая может означать:"," [???] е трибуквен акроним, който може да означава:"," [???] je tričrkovni akronim, ki lahko pomeni:"," [???] je třípísmenná zkratka, která může znamenat:"
26, [???] to stacja radiowa prowadzona przez wolontariuszy z ponad 60 lokalnie produkowanymi programami., [???] - гэта валанцёрская радыёстанцыя з больш чым 60 праграмамі мясцовай вытворчасці., [???] — це волонтерська радіостанція з понад 60 програмами місцевого виробництва.," [???] — радиостанция, управляемая волонтерами, с более чем 60 программами местного производства."," [???] е радиостанция, управлявана от доброволци с повече от 60 местно произведени програми.", [???] je prostovoljna radijska postaja z več kot 60 programi lokalne produkcije., [???] je dobrovolně provozovaná rozhlasová stanice s více než 60 místně vyráběnými programy.
27, [???] to czwarta co do wielkości akademia baletowa w kraju., [???] — чацвёртая па велічыні балетная акадэмія краіны., [???] є четвертою за величиною балетною академією країни., [???] - четвертая по величине балетная академия в стране., [???] е четвъртата по големина балетна академия в страната., [???] je četrta največja baletna akademija v državi., [???] je čtvrtá největší baletní akademie v zemi.
28," Nie oczekuje się, że [???] przejmie jakikolwiek rodzaj „aktywnego” prawa własności w zakresie codziennych operacji."," Чакаецца, што [???] не будзе прымаць які-небудзь тып ""актыўнай"" уласнасці з пункту гледжання паўсядзённых аперацый."," [???] не очікується, що буде мати будь-який тип ""активного"" власності з точки зору повсякденних операцій."," Ожидается, что [???] не возьмет на себя какое-либо «активное» владение с точки зрения повседневных операций."," [???] не се очаква да поеме какъвто и да е тип ""активна"" собственост по отношение на ежедневните операции."," [???] se ne pričakuje, da bo prevzel kakršno koli ""aktivno"" lastništvo v smislu vsakodnevnega poslovanja."," Neočekává se, že [???] převezme jakýkoli typ „aktivního“ vlastnictví, pokud jde o každodenní operace."
29," Szacuje się, że [???] ma 200 członków z rozszerzonym członkostwem ponad 2000."," [???], паводле ацэнак, налічвае 200 членаў з пашыраным членствам больш за 2000."," [???], за оцінками, налічує 200 членів із розширеним членством понад 2000."," По оценкам, [???] насчитывает 200 членов с расширенным членством более 2000 человек."," [???] се смята, че има членство от 200 с разширено членство от над 2000."," Ocenjuje se, da ima [???] 200 članov z razširjenim članstvom več kot 2000."," [???] se odhaduje, že má 200 členů s rozšířeným členstvím přes 2000."
30,"Projekt został wykonany z myślą o konfliktach o niskiej intensywności, w które [???] prawdopodobnie będzie zaangażowany w przyszłości.","Дызайн быў зроблены з улікам канфліктаў нізкай інтэнсіўнасці, у якія [???], верагодна, будзе ўцягнуты ў будучыні.","Дизайн був розроблений з урахуванням конфліктів низької інтенсивності, в які [???], ймовірно, буде залучений у майбутньому.","Дизайн был сделан с учетом вялотекущих конфликтов, в которые [???] скорее всего будут вовлечены в будущем.","Дизайнът е направен, като се имат предвид конфликтите с ниска интензивност, в които [???] вероятно ще бъдат замесени в бъдеще.","Zasnova je bila narejena ob upoštevanju konfliktov nizke intenzivnosti, v katere bo [???] verjetno vpleten v prihodnosti.","Návrh byl vytvořen s ohledem na konflikty nízké intenzity, do kterých se [???] pravděpodobně v budoucnu zapojí."
31, [???] to nazwa korporacyjna i marka należąca do kilku podmiotów od momentu powstania w 1972 roku.," [???] з'яўляецца кампаніяй і брэндам, які належыць некалькім арганізацыям з моманту яго стварэння ў 1972 годзе."," [???] — це корпоративна і торгова марка, що належить кільком організаціям з моменту її створення в 1972 році."," [???] — это корпоративное и торговое название, принадлежащее нескольким организациям с момента его создания в 1972 году."," [???] е корпоративно и търговско име, притежавано от няколко юридически лица от създаването си през 1972 г.", [???] je podjetje in blagovna znamka v lasti več subjektov od ustanovitve leta 1972.," [???] je společnost a značka, kterou od svého založení v roce 1972 vlastní několik subjektů."
32," [???] zdecydowała się na białe szorty i białą koszulę z szerokim, pionowym czerwonym paskiem na piersi i plecach, które nadal są ubiorem [???]."," [???] выбрала белыя шорты і белую кашулю з шырокай вертыкальнай чырвонай паласой на грудзях і спіне, якія па-ранейшаму з'яўляюцца ўборам [???]."," [???] вибрала білі шорти та білу сорочку з широкою вертикальною червоною смугою на грудях і спині, які й досі є одягом [???]."," [???] выбрал белые шорты и белую рубашку с широкой вертикальной красной полосой на груди и спине, которая по-прежнему является одеждой [???]."," [???] избра бели шорти и бяла риза с широка, вертикална червена ивица над гърдите и гърба, която все още е тоалетът на [???]."," [???] se je odločil za bele kratke hlače in belo srajco s široko, navpično rdečo črto na prsih in hrbtu, kar je še vedno [???] obleka."," [???] zvolila bílé šortky a bílou košili s širokým svislým červeným pruhem přes hruď a záda, což je stále [???]'s outfit."
33," [???] nie jest konwencjonalną bazą lotniczą, ponieważ jednostki frontowe nie są tam normalnie rozmieszczone."," [???] не з'яўляецца звычайнай авіябазай, бо франтавыя падраздзяленні звычайна там не разгортваюцца."," [???] не є звичайною авіабазою, оскільки фронтові підрозділи зазвичай там не дислокуються."," [???] не является обычной авиабазой, так как там обычно не дислоцируются передовые части."," [???] не е конвенционална авиобаза, тъй като фронтовите части обикновено не са разположени там."," [???] ni običajna letalska baza, saj tam običajno niso razporejene enote na fronti."," [???] není konvenční letecká základna, protože zde nejsou běžně rozmístěny frontové jednotky."
34," [???] to trzyliterowy akronim, który może odnosić się do:"," [???] - гэта трохлітарны акронім, які можа адносіцца да:"," [???] — це абревіатура з трьох літер, яка може означати:"," [???] — трехбуквенная аббревиатура, которая может означать:"," [???] е трибуквен акроним, който може да се отнася до:"," [???] je tričrkovni akronim, ki se lahko nanaša na:"," [???] je třípísmenná zkratka, která může odkazovat se na:"
35," [???] to prywatna uczelnia sztuk wyzwolonych, w której studiuje około 1950 osób.", [???] - прыватны каледж гуманітарных навук з колькасцю студэнтаў каля 1950 чалавек., [???] є приватним коледжем гуманітарних наук із студентами приблизно 1950 осіб.," [???] - это частный гуманитарный колледж, в котором обучается около 1950 студентов.", [???] е частен колеж за свободни изкуства със студентско население от около 1950., [???] je zasebna univerza svobodnih umetnosti s približno 1.950 študentsko populacijo., [???] je soukromá vysoká škola svobodných umění s asi 1 950 studenty.
36, [???] zachowa udziały w spółce (o wartości 40 mln GBP / 70 mln USD)., [???] захавае долю ў кампаніі (на суму 40 мільёнаў фунтаў стэрлінгаў / 70 мільёнаў даляраў)., [???] збереже частку в компанії (оцінена в £40 млн / $70 млн)., [???] сохранит долю в компании (оценивается в 40 миллионов фунтов стерлингов / 70 миллионов долларов)., [???] ще запази дял в компанията (оценен на £40 милиона / $70 милиона)., [???] bo obdržal delež v podjetju (vrednost 40 milijonov funtov / 70 milijonov dolarjev)., [???] si ponechá podíl ve společnosti (v hodnotě 40 milionů GBP / 70 milionů USD).
37, Fuzja zakończyła się 25 października 2006 r. i [???] jest teraz częścią [???].," Зліццё завершана 25 кастрычніка 2006 г., і [???] цяпер з'яўляецца часткай [???]."," Злиття було завершено 25 жовтня 2006 року, і [???] тепер є частиною [???]."," Слияние завершилось 25 октября 2006 г., и теперь [???] является частью [???].", Сливането приключи на 25 октомври 2006 г. и [???] вече е част от [???]., Združitev je bila zaključena 25. oktobra 2006 in [???] je zdaj del [???]., Fúze byla dokončena 25. října 2006 a [???] je nyní součástí [???].
38," Chociaż firma [???] jest mniej widoczna dla ogółu społeczeństwa niż działalność związana z procesorami, [???] jest również światowym liderem w dziedzinie pamięci flash."," Нягледзячы на ​​тое, што [???] менш бачны для шырокай публікі, чым яго бізнес з працэсарамі, [???] таксама з'яўляецца сусветным лідэрам у галіне флэш-памяці."," Хоча [???] менш помітний для широкої публіки, ніж його бізнес із процесорами, [???] також є світовим лідером у сфері флеш-пам’яті."," Хотя компания [???] менее заметна для широкой публики, чем ее бизнес по производству процессоров, она также является мировым лидером в области флэш-памяти."," Въпреки че е по-малко видим за широката публика от бизнеса с процесори, [???] също е световен лидер във флаш паметта."," Čeprav je širši javnosti manj viden kot njegovo poslovanje s procesorji, je [???] tudi vodilni svetovni pomnilnik flash."," I když je [???] pro širokou veřejnost méně viditelný než jeho podnikání v oblasti CPU, je také globálním lídrem v oblasti flash pamětí."
39," [???] jest globalnym dostawcą usług pośrednictwa ubezpieczeniowego, produktów ubezpieczeniowych oraz doradztwa w zakresie ryzyka i ubezpieczeń, internetowych systemów zarządzania ryzykiem, a także innych usług konsultingowych."," [???] з'яўляецца сусветным пастаўшчыком страхавых брокерскіх паслуг, страхавых прадуктаў і кансультацый па рызыках і страхаванні, інфармацыйных сістэм кіравання рызыкамі ў Інтэрнэце, а таксама іншых кансалтынгавых паслуг."," [???] є глобальним постачальником страхових брокерських послуг, страхових продуктів, консультацій щодо ризиків і страхування, веб-систем управління ризиками, а також інших консалтингових послуг."," [???] является глобальным поставщиком страховых брокерских услуг, страховых продуктов и консультаций по рискам и страхованию, информационных систем управления рисками на базе Интернета, а также других консультационных услуг."," [???] е глобален доставчик на застрахователни посреднически услуги, застрахователни продукти и съвети за риск и застраховане, уеб базирани информационни системи за управление на риска, както и други консултантски услуги."," [???] je globalni ponudnik storitev zavarovalnega posredovanja, zavarovalnih produktov ter svetovanja glede tveganj in zavarovanj, spletnih informacijskih sistemov za upravljanje tveganj ter drugih svetovalnih storitev."," [???] je globálním poskytovatelem pojišťovacích makléřských služeb, pojistných produktů a rizikového a pojistného poradenství, webových informačních systémů pro řízení rizik a dalších konzultačních služeb."
