,pl,be,uk,ru,bg,sl,cs
10,[???] to także potęga firm budowlanych i inżynieryjnych.,[???] таксама з'яўляецца цэнтрам будаўнічых і інжынірынгавых кампаній.,[???] також є потужним центром будівельних та інженерних компаній.,[???] также является центром строительных и инженерных компаний.,[???] също е мощен център на строителни и инженерингови компании.,[???] je tudi elektrarna gradbenih in inženirskih podjetij.,[???] je také velmocí stavebních a strojírenských firem.
11,"[???] jest również jednym z nielicznych pozostałych stanów, które nakładają podatek na żywność i lekarstwa.","[???] таксама з'яўляецца адным з нямногіх штатаў, якія спаганяюць падатак на прадукты харчавання і лекі.","[???] також є одним із небагатьох штатів, які стягують податок на продукти харчування та ліки.","[???] также является одним из немногих оставшихся штатов, взимающих налог на продукты питания и лекарства.","[???] също е един от малкото останали щати, които налагат данък върху храните и лекарствата.","[???] je tudi ena redkih preostalih držav, ki zaračunava davek na hrano in zdravila.","[???] je také jedním z mála zbývajících států, které uvalují daň na potraviny a léky."
12,"[ potrzebne źródło ] [???] to jedyny stan, który nakłada podatek dochodowy na czteroosobową rodzinę o dochodach tak niskich jak 4600 dolarów, co stanowi zaledwie jedną czwartą federalnej granicy ubóstwa.","[???] - адзіны штат, які спаганяе падаходны падатак з сям'і з чатырох чалавек з даходам ад 4600 долараў, што складае ледзь-ледзь чвэрць федэральнай рысы беднасці.","[потрібна цитата] [???] є єдиним штатом, який стягує прибутковий податок з сім'ї з чотирьох осіб з доходом до 4600 доларів США, що становить ледь чверть федеральної межі бідності.","[Править] [???] является единственным штатом, который взимает подоходный налог с семьи из четырех человек с доходом всего 4600 долларов, что составляет едва ли четверть федеральной черты бедности.","[необходим цитат] [???] е единственият щат, който налага данък върху доходите на четиричленно семейство с доход от 4600 долара, което е едва една четвърт от федералната линия на бедността.","[ citiranje je potrebno ] [???] je edina država, ki zaračunava dohodnino štiričlanski družini z dohodkom od 4.600 $, kar je komaj četrtina zvezne praga revščine.","[pochvalná zmínka potřebovaný] [???] je jediný stát, který vybírá daň z příjmu na čtyřčlennou rodinu s příjmem jen 4 600 $, což je sotva jedna čtvrtina federální hranice chudoby."
13,[???] ma 67 powiatów.,[???] мае 67 акругаў.,[???] має 67 округів.,[???] имеет 67 округов.,[???] има 67 окръга.,[???] ima 67 okrožij.,[???] má 67 okresů.
14,[???] jest stanem kontroli napoju alkoholowego; rząd ma monopol na sprzedaż alkoholu.,[???] - гэта стан кантролю над алкагольнымі напоямі; урад мае манаполію на продаж алкаголю.,[???] – стан контролю над алкогольними напоями; держава має монополію на продаж алкоголю.,[???] — состояние контроля употребления алкогольных напитков; правительство имеет монополию на продажу алкоголя.,[???] е състояние на контрол върху алкохолните напитки; правителството държи монопол върху продажбата на алкохол.,[???] je stanje nadzora nad alkoholnimi pijačami; vlada ima monopol nad prodajo alkohola.,[???] je stav kontroly alkoholických nápojů; vláda má monopol na prodej alkoholu.
15,[???] ma powszechne prawo wyborcze w wieku 18 lat.,[???] мае ўсеагульнае выбарчае права з 18 гадоў.,[???] має загальне виборче право з 18 років.,[???] имеет всеобщее избирательное право в 18 лет.,[???] има всеобщо избирателно право на 18 години.,[???] ima splošno volilno pravico pri 18 letih.,[???] má všeobecné volební právo ve věku 18 let.
16,"Zgodnie z konstytucją z 1976 r. (zmodyfikowaną w 1979 r. i poprawkami w 1988, 1989 i 1996 r.) [???] jest państwem wielopartyjnym.","У адпаведнасці з канстытуцыяй 1976 года (з зменамі 1979 года і з папраўкамі ў 1988, 1989 і 1996 гадах) [???] з'яўляецца шматпартыйнай дзяржавай.","Відповідно до конституції 1976 року (з змінами 1979 року і змінами 1988, 1989 і 1996 років) [???] є багатопартійною державою.","Согласно конституции 1976 г. (с изменениями 1979 г. и поправками 1988, 1989 и 1996 гг.) [???] является многопартийным государством.","Съгласно конституцията от 1976 г. (променена през 1979 г. и изменена през 1988, 1989 и 1996 г.) [???] е многопартийна държава.","Po ustavi iz leta 1976 (spremenjeno leta 1979 in spremenjeno leta 1988, 1989 in 1996) je [???] večstrankarska država.","Podle ústavy z roku 1976 (ve znění upraveném v roce 1979 a doplněné v letech 1988, 1989 a 1996) [???] je státem s více stranami."
17,Do tej pory [???] miał ponad 40 legalnych partii politycznych.,На сённяшні дзень [???] налічвае больш за 40 легальных палітычных партый.,На сьогодні [???] має понад 40 легальних політичних партій.,На сегодняшний день [???] насчитывает более 40 легальных политических партий.,Към днешна дата [???] има повече от 40 легални политически партии.,Do danes je imel [???] več kot 40 legalnih političnih strank.,K dnešnímu dni má [???] více než 40 legálních politických stran.
18,[???] w ostatnich latach próbował zdywersyfikować swoje źródła materiałów wojskowych.,[???] у апошнія гады спрабаваў дыверсіфікаваць свае крыніцы ваеннага матэрыялу.,[???] протягом останніх років намагався диверсифікувати свої джерела військового матеріалу.,[???] в последние годы пытался диверсифицировать свои источники военных материалов.,[???] се опита през последните години да разнообрази своите източници на военни материали.,[???] je v zadnjih letih poskušal diverzificirati svoje vire vojaškega materiala.,[???] se v posledních letech pokouší diverzifikovat své zdroje vojenského materiálu.
19,"[???] jest podzielony na 48 prowincji (wilayas), 553 okręgów (daïras) i 1541 gmin (baladiyahs).","[???] падзелена на 48 правінцый ( вілай ), 553 акругі ( даіры ) і 1 541 муніцыпалітэт ( баладыі ).","[???] поділено на 48 провінцій (вілаї), 553 райони (даїри) і 1541 муніципалітет (баладії).","[???] делится на 48 провинций (вилая), 553 округа (дайры) и 1541 муниципалитет (баладия).","[???] е разделен на 48 провинции (вилаи), 553 области (даирас) и 1541 общини (баладии).","[???] je razdeljen na 48 provinc ( wilayas ), 553 okrožij ( daïras ) in 1.541 občin ( baladiyahs ).","[???] se dělí na 48 provincií ( wilayas ), 553 okresů ( daïras ) a 1 541 obcí ( baladiyahs )."
20,[???] zawsze był znany z żyzności swojej gleby.,[???] заўсёды адзначаўся ўрадлівасцю сваёй глебы.,[???] завжди відзначався родючістю свого ґрунту.,[???] всегда славился плодородием своей почвы.,[???] винаги е бил известен с плодородието на почвата си.,[???] je bil vedno znan po rodovitnosti svojih tal.,[???] byl vždy známý úrodností své půdy.
21,"[???] jest dobrze prosperującym krajem, głównie ze względu na przemysł turystyczny, który obsługuje około 10,2 miliona turystów rocznie, a także ze względu na status raju podatkowego.","[???] з'яўляецца квітнеючай краінай у асноўным дзякуючы сваёй індустрыі турызму, якая абслугоўвае каля 10,2 мільёна наведвальнікаў штогод, а таксама дзякуючы статусу падатковай гавані.","[???] є процвітаючою країною в основному завдяки своїй індустрії туризму, яка щорічно обслуговує близько 10,2 мільйонів відвідувачів, а також через свій статус податкової гавані.","[???] является процветающей страной в основном благодаря своей индустрии туризма, которая ежегодно обслуживает около 10,2 миллиона посетителей, а также благодаря своему статусу налогового убежища.","[???] е просперираща страна главно заради своята туристическа индустрия, която обслужва около 10,2 милиона посетители годишно, както и заради статута си на данъчен рай.","[???] je uspešna država predvsem zaradi svoje turistične industrije, ki letno obišče približno 10,2 milijona obiskovalcev, in tudi zaradi statusa davčne oaze.","[???] je prosperující zemí především díky svému turistickému průmyslu, který ročně obsluhuje odhadem 10,2 milionů návštěvníků, a také díky svému statusu daňového ráje."
22,[???] składa się z siedmiu parafii:,[???] складаецца з сямі парафій:,[???] складається з семи парафій:,[???] состоит из семи приходов:,[???] се състои от седем енории:,[???] sestavlja sedem župnij:,[???] se skládá ze sedmi farností:
23,"[???] ma klimat umiarkowany podobny do tego u sąsiadów, ale wyższe wzniesienie oznacza, że ​​zimą jest średnio więcej śniegu, mniejsza wilgotność, a latem jest nieco chłodniej.","[???] мае ўмераны клімат, падобны да клімату суседзяў, але яго большая вышыня азначае, што зімой у сярэднім больш снегу, больш нізкая вільготнасць, а летам крыху халадней.","[???] має помірний клімат, подібний до клімату сусідів, але його більша висота означає, що взимку в середньому більше снігу, нижча вологість, а влітку трохи прохолодніше.","[???] имеет умеренный климат, похожий на климат его соседей, но из-за большей высоты зимой в среднем больше снега, ниже влажность и немного прохладнее летом.","[???] има умерен климат, подобен на този на съседите, но по-високата му надморска височина означава, че има средно повече сняг през зимата, по-ниска влажност и е малко по-хладно през лятото.","[???] ima zmerno podnebje, podobno kot pri sosedih, vendar njegova višja nadmorska višina pomeni, da je pozimi v povprečju več snega, nižja vlažnost, poleti pa je nekoliko hladnejše.","[???] má mírné klima podobné sousedům, ale jeho vyšší nadmořská výška znamená, že v zimě je v průměru více sněhu, nižší vlhkost a v létě je o něco chladněji."
24,[???] nie ma własnej waluty i używa waluty swoich dwóch sąsiednich narodów.,[???] не мае ўласнай валюты і выкарыстоўвае яе дзвюх навакольных краін.,[???] не має власної грошової одиниці і використовує її в двох навколишніх країнах.,[???] не имеет собственной валюты и использует валюту двух соседних народов.,[???] няма собствена валута и използва тази на двете си околни нации.,[???] nima lastne valute in uporablja to iz svojih dveh okoliških narodov.,[???] postrádá vlastní měnu a používá měnu svých dvou okolních národů.
25,[???] prowadzi negocjacje w sprawie emisji własnych monet euro.,[???] вядзе перамовы аб выпуску ўласных манет еўра.,[???] веде переговори щодо випуску власних монет євро.,[???] ведет переговоры о выпуске собственных монет евро.,[???] преговаря за издаване на собствени евро монети.,[???] se pogaja za izdajo lastnih eurokovancev.,[???] vyjednává o vydání vlastních euromincí.
26,"[???] ma sieć dróg o długości 279 km (173 mil), z czego 76 km (47 mil) to droga nieutwardzona.","[???] мае дарожную сетку ў 279 км (173 мілі), з якіх 76 км (47 міль) не асфальтаваныя.","[???] має мережу доріг 279 км (173 милі), з яких 76 км (47 миль) є ґрунтовими.","[???] имеет дорожную сеть протяженностью 279 км (173 мили), из которых 76 км (47 миль) грунтовые.","[???] има пътна мрежа от 279 км (173 мили), от които 76 км (47 мили) са неасфалтирани.","[???] ima 279 km (173 mi) cestno omrežje, od tega je 76 km (47 milj) neasfaltiranih.","[???] má silniční síť 279 km (173 mi), z toho 76 km (47 mi) je nezpevněných."
27,[???] jest większy niż wszystkie kraje poza 18 suwerennymi.,"[???] больш, чым усе, акрамя 18 суверэнных краін.","[???] більша за всі, крім 18 суверенних країн.","[???] больше, чем все, кроме 18 суверенных стран.",[???] е по-голям от всички с изключение на 18 суверенни държави.,"[???] je večji od vseh, razen 18 suverenih držav.",[???] je větší než všechny kromě 18 suverénních zemí.
28,"Z niezliczonymi wyspami, [???] ma prawie 34000 mil (54720 km) linii brzegowej pływów.",З мноствам астравоў [???] мае амаль 34000 міль (54720 км) берагавой лініі прыліўных і адліваў.,З безліччю островів [???] має майже 34000 миль (54720 км) припливної берегової лінії.,"С его бесчисленными островами, [???] имеет почти 34000 миль (54720 км) приливной береговой линии.",С безбройните си острови [???] има близо 34 000 мили (54 720 км) приливна брегова линия.,Z neštetimi otoki ima [???] skoraj 34000 milj (54720 km) plimske obale.,Se svými nesčetnými ostrovy má [???] téměř 34 000 mil (54 720 km) přílivového pobřeží.
29,[???] ma więcej wulkanów niż jakikolwiek inny stan.,"[???] мае больш вулканаў, чым любы іншы штат.","[???] має більше вулканів, ніж будь-який інший штат.","[???] вулканов больше, чем в любом другом штате.",[???] има повече вулкани от всеки друг щат.,[???] ima več vulkanov kot katera koli druga država.,[???] má více sopek než kterýkoli jiný stát.
30,[???] ma ponad trzy miliony jezior.,[???] мае больш за тры мільёны азёр.,[???] має понад три мільйони озер.,[???] насчитывает более трех миллионов озер.,[???] има повече от три милиона езера.,[???] ima več kot tri milijone jezer.,[???] má více než tři miliony jezer.
31,"Średnio [???] otrzymuje 16 cali (406 mm) opadów rocznie, z około 75 cali (1905 mm) śniegu, chociaż są obszary w południowo-środkowej części, które otrzymują znacznie więcej śniegu.","У сярэднім у [???] выпадае 16 цаляў (406 мм) ападкаў у год і каля 75 цаляў (1905 мм) снегу, хоць ёсць раёны на поўдні цэнтральнай частцы, дзе выпадае значна больш снегу.","У середньому [???] отримує 16 дюймів (406 мм) опадів на рік із близько 75 дюймів (1905 мм) снігу, хоча є райони на півдні центральної частини, які отримують набагато більше снігу.","В среднем [???] получает 16 дюймов (406 мм) осадков в год и около 75 дюймов (1905 мм) снега, хотя есть районы на юге и в центре, где выпадает гораздо больше снега.","Средно [???] получава 16 инча (406 мм) валежи годишно, с около 75 инча (1905 мм) сняг, въпреки че има области в централната южна част, които получават много повече сняг.","V povprečju [???] prejme 16 palcev (406 mm) padavin na leto z okoli 75 palcev (1905 mm) snega, čeprav so v južnem osrednjem delu območja, ki prejmejo veliko več snega.","V průměru, [???] přijme 16 se posunuje (406 mm) srážení rok, s asi 75 se posunuje (1905 mm) sněhu, ačkoli tam jsou oblasti na jihu centrální který přijmout daleko více sněhu."
32,[???] ma ogromne zasoby energii.,[???] мае велізарныя энергетычныя рэсурсы.,[???] має величезні енергетичні ресурси.,[???] имеет огромные энергетические ресурсы.,[???] има огромни енергийни ресурси.,[???] ima ogromne vire energije.,[???] má obrovské energetické zdroje.
33,"Aby finansować operacje rządu stanowego, [???] zależy głównie od dochodów z ropy naftowej i dotacji federalnych.",Фінансаванне аперацый урада штата [???] залежыць у першую чаргу ад даходаў ад нафты і федэральных субсідый.,Для фінансування операцій уряду штату [???] залежить насамперед від надходжень від нафти та федеральних субсидій.,"Чтобы финансировать операции правительства штата, [???] зависит в первую очередь от доходов от нефти и федеральных субсидий.",За финансиране на операциите на щатското правителство [???] зависи основно от приходите от петрол и федералните субсидии.,Za financiranje operacij državne vlade [???] je odvisno predvsem od prihodkov od nafte in zveznih subvencij.,Financování operací státní vlády závisí [???] především na příjmech z ropy a federálních dotacích.
34,"Chociaż [???] nie ma stanowego podatku od sprzedaży, 89 gmin pobiera lokalny podatek od sprzedaży, od 1 do 7,5%, zwykle od 3 do 5%.","У той час як у [???] няма дзяржаўнага падатку з продажаў, 89 муніцыпалітэтаў збіраюць мясцовы падатак з продажаў, ад 1-- 7,5%, звычайна 3-- 5%.","Хоча [???] не має державного податку з продажів, 89 муніципалітетів стягують місцевий податок з продажів, від 1-- 7,5 %, зазвичай 3-- 5 %.","В то время как у [???] нет государственного налога с продаж, 89 муниципалитетов взимают местный налог с продаж в размере от 1 до 7,5%, обычно от 3 до 5%.","Докато [???] няма държавен данък върху продажбите, 89 общини събират местен данък върху продажбите, от 1-- 7,5 %, обикновено 3-- 5 %.","Medtem ko [???] nima državnega prometnega davka, 89 občin pobira lokalni prometni davek, od 1-- 7,5 %, običajno 3-- 5 %.","Zatímco [???] nemá žádnou státní daň z obratu, 89 obcí vybírá místní daň z obratu ve výši 1 – 7,5 %, obvykle 3 – 5 %."
35,[???] miał problem z „drenażem mózgów”.,[???] меў праблемы з «уцечкай мазгоў».,[???] мав проблему з «відтоком мізків».,"[???] столкнулся с проблемой ""утечки мозгов"".","[???] е имал проблем с ""изтичане на мозъци"".","[???] je imel težave z "" begom možganov "".",[???] má problém s „odlivem mozků“.
36,"Na przykład średnie plony kukurydzy (kukurydza) w [???] wzrosły z około 2,5 tony na hektar (t/ha) (40 buszli na akr) w 1900 r. do około 9,4 t/ha (150 buszli na akr). w 2001.","Напрыклад, сярэдняя ўраджайнасць кукурузы (кукурузы) у [???] вырасла з прыкладна 2,5 тон з гектара (т/га) (40 бушаляў з акра) у 1900 годзе да прыкладна 9,4 т/га (150 бушаляў з акра) у 2001 годзе.","Наприклад, середня врожайність кукурудзи (кукурудзи) у [???] зросла з приблизно 2,5 тонн на гектар (т/га) (40 бушелів на акр) у 1900 році до приблизно 9,4 т/га (150 бушелів на акр) у 2001 році.","Например, средняя урожайность кукурузы (кукурузы) в [???] увеличилась примерно с 2,5 тонны на гектар (т/га) (40 бушелей на акр) в 1900 году до примерно 9,4 т/га (150 бушелей на акр) в 2001.","Например, средните добиви от царевица (царевица) през [???] са се увеличили от около 2,5 тона на хектар (t/ha) (40 бушела на акър) през 1900 г. до около 9,4 t/ha (150 бушела на акър) през 2001г.","Na primer, povprečni pridelki koruze (koruze) v [???] so se povečali s približno 2,5 tone na hektar (t/ha) (40 bushelov na hektar) leta 1900 na približno 9,4 t/ha (150 bushelov na hektar) leta 2001.","Například průměrné výnosy kukuřice (kukuřice) v [???] vzrostly z přibližně 2,5 tuny na hektar (t/ha) (40 bušlů na akr) v roce 1900 na přibližně 9,4 t/ha (150 bušlů na akr) v roce 2001"
37,Obecnie 92% powierzchni upraw soi w [???] jest obsadzone genetycznie modyfikowanymi roślinami tolerującymi herbicydy.,"Сёння 92 % плошчаў соі ў [???] засаджаны генетычна мадыфікаванымі раслінамі, устойлівымі да гербіцыдаў.","Сьогодні 92 % площ сої в [???] засаджено генетично модифікованими рослинами, толерантними до гербіцидів.","Сегодня 92 % посевных площадей сои в [???] засеяно генетически модифицированными растениями, устойчивыми к гербицидам.",Днес 92 % от площите със соя в [???] са засадени с генетично модифицирани устойчиви на хербициди растения.,"Danes je 92 % sojinih površin v [???] zasajenih z gensko spremenjenimi rastlinami, odpornimi na herbicide.",Dnes je 92 % výměry sóji v [???] osázeno geneticky modifikovanými rostlinami odolnými vůči herbicidům.
38,"[???] jest największym kontynentem na świecie ze znacznym marginesem i jest bogaty w zasoby naturalne, takie jak ropa naftowa, lasy, ryby, woda, ryż, miedź i srebro.","[???] з'яўляецца самым вялікім кантынентам у свеце са значным адрывам, і ён багаты прыроднымі рэсурсамі, такімі як нафта, лясы, рыба, вада, рыс, медзь і срэбра.","[???] є найбільшим континентом у світі зі значним відривом, і він багатий на природні ресурси, такі як нафта, ліси, риба, вода, рис, мідь і срібло.","[???] является крупнейшим континентом в мире со значительным отрывом, и он богат природными ресурсами, такими как нефть, леса, рыба, вода, рис, медь и серебро.","[???] е най-големият континент в света със значителна разлика и е богат на природни ресурси, като петрол, гори, риба, вода, ориз, мед и сребро.","[???] je s precejšnjo mejo največja celina na svetu in je bogata z naravnimi viri, kot so nafta, gozdovi, ribe, voda, riž, baker in srebro.","[???] je se značným náskokem největší kontinent na světě a je bohatý na přírodní zdroje, jako je ropa, lesy, ryby, voda, rýže, měď a stříbro."
39,Ze względu na duży i niezwykle konkurencyjny przemysł informatyczny [???] stał się głównym ośrodkiem outsourcingu.,Дзякуючы сваёй вялікай і надзвычай канкурэнтаздольнай індустрыі інфармацыйных тэхналогій [???] стаў галоўным цэнтрам аўтсорсінгу.,Завдяки своїй великій і надзвичайно конкурентоспроможній індустрії інформаційних технологій [???] стала основним центром аутсорсингу.,Благодаря крупной и чрезвычайно конкурентоспособной индустрии информационных технологий [???] стал крупным центром аутсорсинга.,"Поради своята голяма и изключително конкурентна индустрия на информационните технологии, [???] се превърна в основен център за аутсорсинг.",Zaradi svoje velike in izjemno konkurenčne industrije informacijske tehnologije je [???] postalo glavno središče za zunanje izvajanje.,Díky svému velkému a extrémně konkurenčnímu odvětví informačních technologií se [???] stal hlavním centrem pro outsourcing.
40,[???] jest domem dla kilku rodzin językowych i wielu izolatów językowych.,[???] з'яўляецца домам для некалькіх моўных сем'яў і многіх моўных ізалятараў.,[???] є домом для кількох мовних сімей та багатьох мовних ізоляторів.,[???] является домом для нескольких языковых семей и многих языковых изолятов.,[???] е дом на няколко езикови семейства и много езикови изолации.,[???] je dom več jezikovnih družin in številnih jezikovnih izolatov.,[???] je domovem několika jazykových rodin a mnoha jazykových izolátů.
41,[???] ma wiele języków i dialektów w różnych prowincjach.,[???] мае шмат моў і дыялектаў у розных правінцыях.,[???] має багато мов і діалектів у різних провінціях.,[???] имеет много языков и диалектов в разных провинциях.,[???] има много езици и диалекти в различни провинции.,[???] ima veliko jezikov in narečij v različnih provincah.,[???] má mnoho jazyků a dialektů v různých provinciích.
42,"[???] słynie z białych, piaszczystych plaż na zachodnim i południowym wybrzeżu wyspy, stosunkowo osłoniętych przed gwałtownymi prądami oceanicznymi, i to właśnie tam miała miejsce większość rozwoju turystyki.","[???] славіцца сваімі белымі пяшчанымі пляжамі на заходнім і паўднёвым узбярэжжах вострава, адносна абароненых ад моцных акіянскіх плыняў, і менавіта тут адбылося найбольшае развіццё турыстаў.","[???] відомий своїми білими піщаними пляжами на західному та південному узбережжях острова, відносно захищеними від жорстоких океанських течій, і саме тут відбулося більшість туристів.","[???] известен своими белыми песчаными пляжами на западном и южном побережьях острова, относительно защищенными от сильных океанских течений, и именно здесь происходит наибольшее развитие туризма.","[???] е известен със своите бели пясъчни плажове по западното и южното крайбрежие на острова, сравнително закътани от ожесточени океански течения и тук се е случило най-голямото туристическо развитие.","[???] slovi po svojih belih, peščenih plažah na zahodni in južni obali otoka, relativno zaščitenih pred močnimi oceanskimi tokovi, in tu se je zgodil največ turističnega razvoja.","[???] je proslulé svými bílými písečnými plážemi na západním a jižním pobřeží ostrova, relativně chráněné před prudkými mořskými proudy, a právě zde došlo k největšímu rozvoji cestovního ruchu."
43,Początki ludności i położenie wyspy dają [???] mieszaną kulturę.,Паходжанне насельніцтва і размяшчэнне вострава даюць [???] змешаную культуру.,Походження населення та розташування острова дають [???] змішану культуру.,Происхождение населения и расположение острова дают [???] смешанную культуру.,Произходът на населението и местоположението на острова дават [???] смесена култура.,Izvor prebivalstva in lega otoka dajeta [???] mešano kulturo.,Původ populace a umístění ostrova dávají [???] smíšenou kulturu.
