,pl,be,uk,ru,bg,sl,cs
10,W 2005 r. odbyło się referendum [loc] w sprawie sprzedaży broni palnej i amunicji w celu zmniejszenia liczby zgonów z powodu broni.,"У 2005 годзе [loc] быў праведзены рэферэндум аб продажы агнястрэльнай зброі і боепрыпасаў, каб спрабаваць знізіць колькасць смерцяў з-за зброі.","У 2005 році відбувся референдум [loc] щодо продажу вогнепальної зброї та боєприпасів, щоб спробувати зменшити кількість смертей через зброю.","В 2005 году [loc] был проведен референдум о продаже огнестрельного оружия и боеприпасов, чтобы попытаться снизить количество смертей от огнестрельного оружия.","През 2005 г. беше проведен референдум [loc] за продажбата на огнестрелни оръжия и боеприпаси, за да се опита да се намали броят на смъртните случаи, дължащи се на оръжия.","Leta 2005 je bil [loc] izveden referendum o prodaji strelnega orožja in streliva, da bi poskušali zmanjšati število smrtnih žrtev zaradi orožja.",V roce 2005 se konalo referendum o prodeji střelných zbraní a střeliva ve snaze snížit počet úmrtí v důsledku zbraní.
11,"W latach 1832, 1833, 1834 i 1836 duża liczba powiatów poniosła poważne straty, aw 1835 r. ziemniak upadał [loc].","У 1832, 1833, 1834 і 1836 гадах вялікая колькасць паветаў панесла сур'ёзныя страты, а ў 1835 годзе бульба правалілася [loc].","У 1832, 1833, 1834 і 1836 роках велика кількість округів зазнала серйозних втрат, а в 1835 році картопля провалилася [loc].","В 1832, 1833, 1834 и 1836 годах большое количество уездов понесло серьезный урон, а в 1835 году картошка не удалась [loc].","През 1832, 1833, 1834 и 1836 г. голям брой области претърпяват сериозни загуби, а през 1835 г. картофът се проваля [loc].","V letih 1832, 1833, 1834 in 1836 je veliko število okrožij utrpelo resne izgube, leta 1835 pa je krompir propadel [loc].","V letech 1832, 1833, 1834 a 1836 utrpělo velké množství okresů vážné ztráty a v roce 1835 se brambory nezdařily [loc]."
12,"Jego niepewny stan zdrowia uniemożliwił mu intensywne koncertowanie jako podróżujący wirtuoz, a poza graniem raz [loc], rzadko wychodził poza stolicę.","Яго хісткае здароўе не дазволіла яму шмат гастраляваць як віртуоз-падарожнік, і, акрамя таго, як сыграў адзін раз [loc], ён рэдка выязджаў за межы сталіцы.","Його нестабільне здоров’я завадило йому багато гастролювати як мандрівний віртуоз, і, крім того, що грав один раз [loc], він рідко виїжджав за межі столиці.","Его шаткое здоровье не позволяло ему много гастролировать в качестве странствующего виртуоза, и, кроме того, что он однажды сыграл [loc], он редко выезжал за пределы столицы.","Несигурното му здраве му попречи да обикаля екстензивно като пътуващ виртуоз и освен да свири веднъж [loc], той рядко се осмелява да напусне столицата.","Njegovo nestabilno zdravje mu je preprečilo, da bi kot potujoči virtuoz na obsežnih turnejah, in poleg tega, da je enkrat igral [loc], se je le redkokdaj upal zapustiti prestolnico.","Jeho nejisté zdraví mu bránilo v rozsáhlém turné cestovatelského virtuosa a kromě toho, že jednou hrál [loc], se jen zřídka odvážil opustit hlavní město."
13,"Edukacja jest obowiązkowa od przedszkola do klasy XII [loc], powszechnie, ale nie wyłącznie, podzielona na trzy szczeble edukacji podstawowej i średniej: szkołę podstawową, gimnazjum lub gimnazjum i liceum.","Адукацыя з'яўляецца абавязковай з дзіцячага сада да дванаццатага класа [loc], звычайна, але не выключна, дзеліцца на тры ўзроўні пачатковай і сярэдняй адукацыі: пачатковую школу, сярэднюю школу або малодшую школу і сярэднюю школу.","Освіта є обов’язковою від дитячого садка до дванадцятого класу [loc], зазвичай, але не виключно, ділиться на три рівні початкової та середньої освіти: початкову школу, середню школу або молодшу середню школу та середню школу.","Образование является обязательным с детского сада до двенадцатого класса [loc], обычно, но не исключительно, делится на три уровня начального и среднего образования: начальная школа, средняя школа или неполная средняя школа и старшая школа.","Образованието е задължително от детската градина до дванадесети клас [loc], обикновено, но не изключително, разделено на три нива на основно и средно образование: основно училище, средно училище или прогимназия и гимназия.","Izobraževanje je obvezno od vrtca do dvanajstega razreda [loc], običajno, vendar ne izključno, razdeljeno na tri stopnje osnovnega in srednješolskega izobraževanja: osnovno šolo, srednjo šolo ali nižjo gimnazijo in srednjo šolo.","Vzdělávání je povinné od mateřské školy do dvanácté třídy [loc], běžně, ale ne výlučně, rozděleno do tří úrovní primárního a sekundárního vzdělávání: základní škola, střední škola nebo nižší střední škola a střední škola."
14,Prawie wszystkie te szafki zostały wyprodukowane przez firmy zlokalizowane [loc].,"Амаль усе гэтыя шафы былі выраблены кампаніямі, размешчанымі [loc].","Майже всі ці шафи були виготовлені компаніями, розташованими [loc].","Почти все эти шкафы были произведены компаниями, расположенными [loc].","Почти всички тези шкафове са произведени от компании, разположени [loc].",Skoraj vse te omare so proizvedla podjetja s sedežem [loc].,Téměř všechny tyto skříně byly vyrobeny společnostmi se sídlem [loc].
15,Również złota i srebrna moneta pozostawała pieniędzmi [loc] w okresie od 1822 do 1836 – i rzeczywiście długo później.,Таксама залатая і сярэбраная манета заставалася грашыма [loc] у перыяд з 1822 па 1836 г.-- і насамрэч доўга пасля гэтага.,Також золоті та срібні монети залишалися грошима [loc] у період з 1822 по 1836 рік - і навіть довго після цього.,"Кроме того, золотые и серебряные монеты оставались деньгами [loc] в период с 1822 по 1836 год и даже намного позже.",Също така златните и сребърните монети остават пари [loc] в периода от 1822 до 1836 г. - и наистина дълго след това.,Tudi zlatnik in srebrnik sta ostal denar [loc] v obdobju od 1822 do 1836-- in res dolgo zatem.,Také zlatá a stříbrná mince zůstala penězi [loc] v období 1822 až 1836 – a skutečně dlouho poté.
16,"Pierwsze spisy ludności [loc] wykonano w latach 1911, 1921 i 1931.","Першыя перапісы [loc] былі праведзены ў 1911, 1921 і 1931 гг.","Перші переписи [loc] були проведені в 1911, 1921 і 1931 роках.","Первые переписи [loc] были проведены в 1911, 1921 и 1931 годах.","Първите преброявания [loc] са направени през 1911, 1921 и 1931 г.","Prvi popisi [loc] so bili opravljeni leta 1911, 1921 in 1931.","První sčítání lidu [loc] bylo provedeno v letech 1911, 1921 a 1931."
17,Jego pierwszy artykuł „O niedawnym formowaniu się wapienia słodkowodnego [loc]” został przedstawiony w 1822 roku.,"Яго першая праца, «Аб нядаўнім фарміраванні прэснаводных вапнякоў [loc]», была прадстаўлена ў 1822 годзе.",Його перша стаття «Про недавнє формування прісноводного вапняку [loc]» була представлена ​​в 1822 році.,Его первая статья «О недавнем образовании пресноводного известняка [loc]» была представлена ​​в 1822 году.,"Първият му документ, ""За скорошно образуване на сладководен варовик [loc]"", е представен през 1822 г.","Njegov prvi prispevek, ""O nedavnem nastanku sladkovodnega apnenca [loc]"", je bil predstavljen leta 1822.","Jeho první článek, „O nedávném formování sladkovodního vápence [loc]“, byl prezentován v roce 1822."
18,Wojewodowie są przedstawicielami rządu centralnego [loc] i odpowiadają za wszystkie sprawy administracyjne i formalne na terenie swoich województw.,Губернатары правінцый з'яўляюцца прадстаўнікамі цэнтральнага ўрада [loc] і адказваюць за ўсе адміністрацыйныя і фармальныя пытанні ў сваіх правінцыях.,Губернатори провінцій є представниками центрального уряду [loc] і відповідають за всі адміністративні та формальні питання в межах своїх провінцій.,Губернаторы провинций являются представителями центрального правительства [loc] и несут ответственность за все административные и формальные вопросы в своих провинциях.,Провинциалните управители са представители на централното правителство [loc] и отговарят за всички административни и формални въпроси в рамките на своите провинции.,Deželni guvernerji so predstavniki centralne vlade [loc] in so odgovorni za vsa upravna in formalna vprašanja znotraj svojih provinc.,Provinční guvernéři jsou zástupci ústřední vlády [loc] a jsou zodpovědní za všechny administrativní a formální záležitosti v rámci svých provincií.
19,"W 2009 roku bank zatwierdził strategię finansowania proponowanych projektów o wartości 2,9 miliarda dolarów [loc].","У 2009 годзе банк зацвердзіў стратэгію фінансавання прапанаваных праектаў у памеры 2,9 мільярда долараў [loc].","У 2009 році банк затвердив стратегію фінансування запропонованих проектів на суму 2,9 мільярда доларів [loc].","В 2009 году банк одобрил стратегию финансирования предлагаемых проектов на сумму 2,9 миллиарда долларов [loc].","През 2009 г. банката одобри стратегия за финансиране от 2,9 милиарда долара за предложени проекти [loc].","Leta 2009 je banka podprla strategijo financiranja v višini 2,9 milijarde dolarjev za predlagane projekte [loc].","V roce 2009 banka schválila strategii financování navrhovaných projektů ve výši 2,9 miliardy dolarů [loc]."
20,"Pięcioletnie badanie 300 kobiet i 100 mężczyzn [loc] wykazało, że „pożądanie seksualne, przyjemność i orgazm są doświadczane przez większość [„ prawie 90%”] kobiet, które zostały poddane temu skrajnemu okaleczeniu seksualnemu. , mimo że są kulturowo zobowiązane do ukrywania tych doświadczeń.”","Пяцігадовае даследаванне 300 жанчын і 100 мужчын [loc] паказала, што ""сэксуальнае жаданне, задавальненне і аргазм адчуваюць большасць ["" амаль 90% ""] жанчын, якія падвергліся гэтаму экстрэмальнаму сэксуальнаму калецтву , нягледзячы на ​​тое, што яны культурна абавязаны хаваць гэты досвед».","П’ятирічні дослідження 300 жінок і 100 чоловіків [loc] виявили, що «сексуальне бажання, задоволення та оргазм відчувають більшість [« майже 90 % » ] жінок, які зазнали цього надзвичайного сексуального каліцтва , незважаючи на те, що вони культурно зобов’язані приховувати цей досвід».","Пятилетнее исследование 300 женщин и 100 мужчин [loc] показало, что «сексуальное желание, удовольствие и оргазм испытывает большинство [«почти 90 %»] женщин, подвергшихся этому крайнему сексуальному увечью. , несмотря на то, что они культурно обязаны скрывать этот опыт».","Петгодишно проучване на 300 жени и 100 мъже [loc] установи, че „сексуално желание, удоволствие и оргазъм се изпитват от мнозинството [„почти 90%“] от жените, които са били подложени на това екстремно сексуално осакатяване , въпреки че са културно обвързани да крият тези преживявания.""","Petletna študija 300 žensk in 100 moških [loc] je pokazala, da ""spolno željo, užitek in orgazem doživlja večina [""skoraj 90%""] žensk, ki so bile izpostavljene temu ekstremnemu spolnemu pohabljanju , kljub temu, da so kulturno zavezani skrivanju teh izkušenj.""","Pětiletá studie 300 žen a 100 mužů [loc] zjistila, že „sexuální touhu, rozkoš a orgasmus zažívá většina [ „téměř 90 %“ ] žen, které byly vystaveny tomuto extrémnímu sexuálnímu mrzačení. navzdory tomu, že jsou kulturně zavázáni tyto zkušenosti skrývat."""
21,"Autorzy ci wskazują na haczyki żaluzjowe używane w haftowaniu żaluzjowym [loc] w XVIII wieku i twierdzą, że zahaczanie pętelek przez cienki materiał w żaluzjach przekształciło się w „szydełko w powietrzu”.","Гэтыя аўтары паказваюць на тамбурныя гаплікі, якія выкарыстоўваліся ў тамбурнай вышыўцы [loc] у васемнаццатым стагоддзі, і сцвярджаюць, што зачэпленне завес праз тонкую тканіну ў тамбурнай працы ператварылася ў « вязанне кручком у паветры».","Ці автори вказують на тамбурні гачки, які використовувалися у тамбурній вишивці [loc] у вісімнадцятому столітті, і стверджують, що зав’язування петель через тонку тканину в тамбурній роботі перетворилося на «в’язання гачком у повітрі».","Эти авторы указывают на тамбурные крючки, использовавшиеся в тамбурной вышивке [loc] в восемнадцатом веке, и утверждают, что зацепление петель через тонкую ткань при тамбурной работе превратилось в «вязание крючком в воздухе».","Тези автори посочват куките за тамбур, използвани в бродерията на тамбур [loc] през осемнадесети век, и твърдят, че закачането на примки чрез фина тъкан в работата с тамбур се е развило в ""плетене на една кука във въздуха"".","Ti pisci opozarjajo na tamburske kavlje, ki so se uporabljali pri tamburskem vezenju [loc] v osemnajstem stoletju, in trdijo, da se je kvačkanje zank skozi fino tkanino pri tamburskem delu razvilo v »kvačkanje v zraku«.","Tito autoři poukazují na tamburské háky používané v tamburském vyšívání [loc] v osmnáctém století a tvrdí, že zaháknutí smyček přes jemnou látku při tamburské práci se vyvinulo v „háčkování ve vzduchu“."
22,"Oba biegną z północy na południe, łącząc się ze sobą [loc].","Яны абодва ідуць з поўначы на ​​поўдзень, злучаючыся адзін з адным [loc].","Обидва вони пролягають з півночі на південь, з’єднуючись один з одним [loc].","Они оба проходят с севера на юг, соединяясь друг с другом [loc].","И двете вървят север-юг, свързвайки се един с друг [loc].",Oba potekata sever-jug in se med seboj povezujeta [loc].,Oba vedou severojižně a vzájemně se propojují [loc].
23,"Dane ze spisu [loc] nie rejestrują pochodzenia etnicznego innego niż osoby identyfikujące się jako członkowie określonych mniejszościowych grup etnicznych, więc ogólne wartości procentowe są zasadniczo szacunkami z innych źródeł i mogą się różnić w zależności od siebie.","Дадзеныя перапісу [loc] не фіксуюць этнічную прыналежнасць, акрамя тых, хто ідэнтыфікуе сябе як члены пэўных этнічных груп меншасці, таму агульныя працэнты па сутнасці з'яўляюцца ацэнкамі з іншых крыніц і могуць адрознівацца ад адной да іншай.","Дані перепису [loc] не фіксують етнічну приналежність, крім тих, хто ідентифікує себе як членів певних етнічних груп меншин, тому загальні відсотки є, по суті, оцінками з інших джерел і можуть відрізнятися від одного до іншого.","Данные переписи [loc] не фиксируют этническую принадлежность, за исключением тех, кто идентифицирует себя как членов определенных этнических групп меньшинств, поэтому общие проценты в основном являются оценками из других источников и могут варьироваться от одного к другому.","Данните от преброяването [loc] не отчитат етническа принадлежност, различна от тази на тези, които се идентифицират като членове на определени малцинствени етнически групи, така че общите проценти по същество са оценки от други източници и могат да варират от един до друг.","Popisni podatki [loc] ne beležijo etnične pripadnosti, razen tistih, ki se identificirajo kot pripadniki določenih manjšinskih etničnih skupin, zato so skupni odstotki v bistvu ocene iz drugih virov in se lahko od enega do drugega razlikujejo.","Údaje ze sčítání lidu [loc] nezaznamenávají etnickou příslušnost kromě těch, kteří se identifikují jako členové konkrétních menšinových etnických skupin, takže celková procenta jsou v podstatě odhady z jiných zdrojů a mohou se jeden od druhého lišit."
24,Jest siedem orkiestr symfonicznych [loc].,Ёсць сем сімфанічных аркестраў [loc].,Є сім симфонічних оркестрів [loc].,Есть семь симфонических оркестров [loc].,Има седем симфонични оркестъра [loc].,Obstaja sedem simfoničnih orkestrov [loc].,Existuje sedm symfonických orchestrů [loc].
25,Do tej pory znaleziono około 760 gatunków kręgowców [loc].,Да гэтага часу знойдзена каля 760 відаў пазваночных жывёл [loc].,На даний момент знайдено близько 760 видів хребетних [loc].,На сегодняшний день обнаружено около 760 видов позвоночных [loc].,"Има около 760 вида гръбначни животни, открити досега [loc].",Do sedaj je bilo najdenih okoli 760 vrst vretenčarjev [loc].,Dosud bylo nalezeno kolem 760 druhů obratlovců [loc].
26,"Model epicyklu, który dopasował do obserwacji zaćmień Księżyca dokonanych [loc] 22 września 201 pne, 19 marca 200 pne i 11 września 200 pne.","Мадэль эпіцыкла, якую ён прыладзіў да назіранняў за месяцовым зацьменнем, зробленых [loc] 22 верасня 201 г. да н.э., 19 сакавіка 200 г. да н.э. і 11 верасня 200 г. да н.э.","Модель епіциклу, яку він пристосував до спостережень місячного затемнення, зроблених [loc] 22 вересня 201 р. до н.е., 19 березня 200 р. до н.е. та 11 вересня 200 р. до н.е.","Модель эпицикла, которую он подогнал к наблюдениям лунных затмений, сделанным [loc] 22 сентября 201 г. до н.э., 19 марта 200 г. до н.э. и 11 сентября 200 г. до н.э.","Моделът на епицикла, който той монтира към наблюденията на лунно затъмнение, направени [през ???] на 22 септември 201 г. пр. н. е., 19 март 200 г. пр. н. е. и 11 септември 200 г. пр. н. е.","Model epicikla, ki ga je prilagodil opazovanju luninega mrka [loc] 22. septembra 201 pr.n.št., 19. marca 200 pr.n.št., in 11. septembra 200 pr.n.št.","Model epicyklu, který přizpůsobil pozorování zatmění Měsíce [loc] 22. září 201 př. n. l., 19. března 200 př. n. l. a 11. září 200 př. n. l."
27,Lotnisko to jest również drugim najbardziej ruchliwym lotniskiem pod względem ruchu [loc].,Гэты аэрапорт таксама з'яўляецца другім па загружанасці аэрапортам з пункту гледжання руху транспартных сродкаў [loc].,Цей аеропорт також є другим найбільш завантаженим аеропортом з точки зору руху транспорту [loc].,Этот аэропорт также является вторым по загруженности аэропортом с точки зрения движения транспорта [loc].,Това летище е и второто най-натоварено летище по отношение на движението на трафика [loc].,To letališče je tudi 2. najbolj obremenjeno letališče po prometu [loc].,Toto letiště je také 2. nejvytíženějším letištěm z hlediska dopravních pohybů [loc].
28,Monarchia absolutna została zakończona [loc].,Абсалютная манархія была спынена [loc].,Абсолютна монархія була покінчена [loc].,Абсолютная монархия закончилась [loc].,Абсолютната монархия беше прекратена [loc].,Absolutna monarhija je bila končana [loc].,Absolutní monarchie byla ukončena [loc].
29,"Istnieje 79 gmin [loc], które zarządzają sprawami lokalnymi, takimi jak szkoły, transport i zagospodarowanie przestrzenne.","Ёсць 79 муніцыпалітэтаў [loc], якія рэгулююць мясцовыя пытанні, такія як школы, транспарт і занаванне.","Є 79 муніципалітетів [loc], які регулюють місцеві питання, такі як школи, транспорт і зонування.","Есть 79 муниципалитетов [loc], которые регулируют местные вопросы, такие как школы, транспорт и зонирование.","Има 79 общини [loc], които управляват местни въпроси като училища, транспорт и зониране.","[loc] je 79 občin, ki urejajo lokalne zadeve, kot so šole, promet in coniranje.","Existuje 79 obcí [loc], které řídí místní záležitosti, jako jsou školy, doprava a územní plánování."
30,Sektor nieruchomości przeżywa boom [loc].,Сектар нерухомасці развіваецца [loc].,Сектор нерухомості процвітає [loc].,Сектор недвижимости переживает бум [loc].,Секторът на недвижимите имоти процъфтява [loc].,Nepremičninski sektor je v razcvetu [loc].,Realitní sektor zažívá boom [loc].
31,W październiku tego samego roku jego żona i dziewięcioletni syn pojechali za nim do zamieszkania [loc].,У кастрычніку таго ж года яго жонка і дзевяцігадовы сын паехалі за ім жыць [loc].,У жовтні того ж року його дружина та дев'ятирічний син поїхали за ним жити [loc].,В октябре того же года его жена и девятилетний сын переехали к нему жить [loc].,"През октомври същата година съпругата му и деветгодишният син го последваха, за да живеят [loc].","Oktobra istega leta sta mu žena in devetletni sin sledila, da bi živel [loc].",V říjnu téhož roku za ním jeho žena a devítiletý syn žili [loc].
32,Jednak śmiertelność więźniów [loc] w większości okresów była faktycznie niższa niż w całym systemie obozowym.,"Аднак смяротнасць зняволеных [loc] у большасць перыядаў была насамрэч ніжэйшай, чым па сістэме лагераў у цэлым.","Проте смертність ув’язнених [loc] у більшість періодів була насправді нижчою, ніж у таборовій системі загалом.","Однако смертность заключенных [loc] в большинстве периодов фактически была ниже, чем по лагерной системе в целом.","Въпреки това, смъртността на затворниците [loc] в повечето периоди всъщност е била по-ниска, отколкото в цялата лагерна система като цяло.",Vendar je bila umrljivost zapornikov [loc] v večini obdobij dejansko nižja kot v celotnem sistemu taborišč.,Úmrtnost vězňů [loc] však byla ve většině období ve skutečnosti nižší než v celém systému táborů jako celku.
33,Na początku XX wieku [loc] hazard został zabroniony i zabroniony przez ustawodawstwo państwowe i ówczesnych reformatorów społecznych.,У пачатку 20-га стагоддзя [loc] азартныя гульні сталі па-за законам і забароненыя дзяржаўным заканадаўствам і сацыяльнымі рэфарматарамі таго часу.,На початку 20 століття [loc] азартні ігри опинилися поза законом і заборонені законодавством штату та соціальними реформаторами того часу.,В начале 20 века [loc] азартные игры были объявлены вне закона и запрещены законодательством штата и социальными реформаторами того времени.,В началото на 20-ти век [loc] хазартът става извън закона и забранен от държавното законодателство и социалните реформатори от онова време.,V začetku 20. stoletja [loc] so igre na srečo postale prepovedane in prepovedane s strani državne zakonodaje in socialnih reformatorjev tistega časa.,Během počátku 20. století [loc] se hazardní hry staly mimo zákon a zakázány státní legislativou a tehdejšími sociálními reformátory.
34,"mowa, znajduje się [loc].","гаворкі, знаходзіцца [loc].","мовлення, знаходиться [loc].","речь, находится [loc].","реч, се намира [loc].","govora, se nahaja [loc].","řeč, se nachází [loc]."
