,pl,be,uk,ru,bg,sl,cs
110,Brasília,Бразілія,Бразиліа,Бразилиа,Бразилия,Brasilia,Brasília
111,Bratysława,Браціслава,Братислава,Братислава,Братислава,Bratislava,Bratislava
112,Bruksela,Брусель,Брюссель,Брюссель,Брюксел,Bruselj,Brusel
113,Bridgetown,Брыджтаўн,Бриджтаун,Бриджтаун,Бриджтаун,Bridgetown,Bridgetown
114,Brisbane,Брысбен,Брисбен,Брисбен,Бризбън,Brisbane,Brisbane
115,Budapeszt,Будапешт,Будапешт,Будапешт,Будапеща,Budimpešta,Budapešť
116,Bużumbura,Бужумбура,Бужумбура,Бужумбура,Бужумбура,Bujumbura,Bujumbura
117,Bukareszt,Бухарэст,Бухарест,Бухарест,Букурещ,Bukarešta,Bukurešť
118,Buenos Aires,Буэнас-Айрэс,Буенос-Айрес,Буэнос-Айрес,Буенос Айрес,Buenos Aires,Buenos Aires
119,Bhopal,Бхапал,Бхопал,Бхопал,Бопал,Bhopāl,Bhópál
120,Bilbao,Більбаа,Більбао,Бильбао,Билбао,Bilbao,Bilbao
121,Bissau,Бісау,Бісау,Бисау,Бисау,Bissau,Bissau
122,Biszkek,Бішкек,Бішкек,Бишкек,Бишкек,Biškek,Biškek
123,Wientian,В’енцьян,В'єнтьян,Вьентьян,Виентян,Vientiane,Vientiane
124,Vaduz,Вадуц,Вадуц,Вадуц,Вадуц,Vaduz,Vaduz
125,Valletta,Валета,Валлетта,Валлетта,Валета,Valletta,Valletta
126,Vancouver,Ванкувер,Ванкувер,Ванкувер,Ванкувър,Vancouver,Vancouver
127,Warszawa,Варшава,Варшава,Варшава,Варшава,Varšava,Varšava
128,Watykan,Ватыкан,Ватикан,Ватикан,Ватикан,Vatikan,Vatikán
129,Waszyngton,Вашынгтон,Вашингтон,Вашингтон,Вашингтон,"Washington, D.C.","Washington, D.C."
130,Wellington,Уэлінгтан,Веллінгтон,Веллингтон,Уелингтън,Wellington,Wellington
131,Wiedeń,Вена,Відень,Вена,Виена,Dunaj,Vídeň
132,Victoria,Вікторыя,Вікторія,Виктория,Виктория,"Viktorija, Sejšeli",Victoria
134,Windhuk,Віндхук,Віндгук,Виндхук,Виндхук,Windhoek,Windhoek
135,Gaborone,Габаронэ,Габороне,Габороне,Габороне,Gaborone,Gaborone
136,Hawana,Гавана,Гавана,Гавана,Хавана,Havana,Havana
137,Halifax,Галіфакс,Галіфакс,Галифакс,Халифакс,"Halifax, Nova Škotska",Halifax
138,Hamburg,Гамбург,Гамбург,Гамбург,Хамбург,Hamburg,Hamburk
139,Guadalajara,Гвадалахара,Гвадалахара,Гвадалахара,Гуадалахара,Guadalajara,Guadalajara
140,Gwatemala,Гватэмала,Гватемала,Гватемала,Гватемала,Gvatemala,Ciudad de Guatemala
141,Gdańsk,Гданьск,Гданськ,Гданьск,Гданск,Gdansk,Gdaňsk
142,Genua,Генуя,Генуя,Генуя,Генуа,Genova,Janov
143,Göteborg,Гётэбарг,Гетеборг,Гётеборг,Гьотеборг,Göteborg,Göteborg
144,Dhaka,Дака,Дакка,Дакка,Дака,Daka,Dháka
145,Dakar,Дакар,Дакар,Дакар,Дакар,Dakar,Dakar
147,Dar es Salaam,Дар-эс-Салам,Дар-ес-Салам,Дар-эс-Салам,Дар ес-Салаам,Dar es Salaam,Dar es Salaam
148,Dżakarta,Джакарта,Джакарта,Джакарта,Джакарта,Džakarta,Jakarta
149,Dżibuti,Джыбуці,Джибуті,Джибути,Джибути,Džibuti,Džibuti
150,Düsseldorf,Дзюсельдорф,Дюссельдорф,Дюссельдорф,Дюселдорф,Düsseldorf,Düsseldorf
151,Doha,Доха,Доха,Доха,Доха,Doha,Dauhá
152,Duala,Дуала,Дуала,Дуала,Дуала,Douala,Douala
153,Dubaj,Дубай,Дубай,Дубай,Дубай,Dubaj,Dubaj
154,Dublin,Дублін,Дублін,Дублин,Дъблин,Dublin,Dublin
155,Douglas,Дуглас,Дуглас,Дуглас,Дъглас,Douglas,Douglas
156,Durban,Дурбан,Дурбан,Дурбан,Дърбан,Durban,Durban
157,Duszanbe,Душанбэ,Душанбе,Душанбе,Душанбе,Dušanbe,Dušanbe
158,Jekaterynburg,Екацярынбург,Єкатеринбург,Екатеринбург,Екатеринбург,Jekaterinburg,Jekatěrinburg
159,Erywań,Ерэван,Єреван,Ереван,Ереван,Erevan,Jerevan
160,Genewa,Жэнева,Женева,Женева,Женева,Ženeva,Ženeva
161,Zagrzeb,Заграб,Загреб,Загреб,Загреб,Zagreb,Záhřeb
162,Salzburg,Зальцбург,Зальцбург,Зальцбург,Залцбург,Salzburg,Salcburk
163,Johannesburg,Яганэсбург,Йоганнесбург,Йоханнесбург,Йоханесбург,Johannesburg,Johannesburg
164,Jokohama,Якагама,Йокогама,Иокогама,Йокохама,Jokohama,Jokohama
165,Kabul,Кабул,Кабул,Кабул,Кабул,Kabul,Kábul
166,Calgary,Калгары,Калгарі,Калгари,Калгари,Calgary,Calgary
167,Kolombo,Каломба,Коломбо,Коломбо,Коломбо,Kolombo,Kolombo
168,Kolkata,Калькута,Колката,Калькутта,Колката,Kalkuta,Kalkata
169,Kampala,Кампала,Кампала,Кампала,Кампала,Kampala,Kampala
170,Konakry,Конакры,Конакрі,Конакри,Конакри,Conakry,Konakry
171,Canberra,Канбера,Канберра,Канберра,Канбера,Canberra,Canberra
172,Kanton,Кантон,Ґуанчжоу,Гуанчжоу,Гуанджоу,Guangdžov,Kanton
173,Kopenhaga,Капенгаген,Копенгаген,Копенгаген,Копенхаген,København,Kodaň
174,Caracas,Каракас,Каракас,Каракас,Каракас,Caracas,Caracas
175,Karaczi,Карачы,Карачі,Карачи,Карачи,Karači,Karáčí
176,Casablanca,Касабланка,Касабланка,Касабланка,Казабланка,Casablanca,Casablanca
177,Castries,Кастры,Кастрі,Кастри,Кастрийс,Castries,Castries
178,Katmandu,Катманду,Катманду,Катманду,Катманду,Katmandu,Káthmándú
179,Kair,Каір,Каїр,Каир,Кайро,Kairo,Káhira
180,Québec,Квебек,Квебек,Квебек,Квебек,Québec,Québec
181,Kobe,Кобэ,Кобе,Кобе,Кобе,Kobe,Kóbe
182,Kraków,Кракаў,Краків,Краков,Краков,Krakov,Krakov
183,Kuala Lumpur,Куала-Лумпур,Куала-Лумпур,Куала-Лумпур,Куала Лумпур,Kuala Lumpur,Kuala Lumpur
184,Kuwejt,Кувейт,Ель-Кувейт,Эль-Кувейт,Кувейт,Kuvajt,Kuvajt
185,Kigali,Кігалі,Кігалі,Кигали,Кигали,Kigali,Kigali
186,Kingston,Кінгстан,Кінгстон,Кингстон,Кингстън,"Kingston, Jamajka",Kingston
187,Kingstown,Кінгстаўн,Кінгстаун,Кингстаун,Кингстаун,Kingstown,Kingstown
188,Kinszasa,Кіншаса,Кіншаса,Киншаса,Киншаса,Kinšasa,Kinshasa
189,Quito,Кіта,Кіто,Кито,Кито,Quito,Quito
190,Kiszyniów,Кішынёў,Кишинів,Кишинёв,Кишинев,Kišinjev,Kišiněv
191,Lipsk,Лейпцыг,Лейпциг,Лейпциг,Лайпциг,Leipzig,Lipsko
192,Petersburg,Ленінград,Санкт-Петербург,Санкт-Петербург,Санкт Петербург,Sankt Peterburg,Petrohrad
193,Lomé,Ламэ,Ломе,Ломе,Ломе,Lomé,Lomé
194,Londyn,Лондан,Лондон,Лондон,Лондон,London,Londýn
195,Luanda,Луанда,Луанда,Луанда,Луанда,Luanda,Luanda
196,Lusaka,Лусака,Лусака,Лусака,Лусака,Lusaka,Lusaka
197,Lublana,Любляна,Любляна,Любляна,Любляна,Ljubljana,Lublaň
199,Libreville,Лібрэвіль,Лібревіль,Либревиль,Либревил,Libreville,Libreville
200,Lilongwe,Лілонгвэ,Лілонгве,Лилонгве,Лилонгве,Lilongwe,Lilongwe
201,Lima,Ліма,Ліма,Лима,Лима,Lima,Lima
202,Lizbona,Лісабон,Лісабон,Лиссабон,Лисабон,Lizbona,Lisabon
203,Mogadiszu,Магадзіша,Могадішо,Могадишо,Могадишу,Mogadiš,Mogadišo
204,Ćennaj,Чэнаі,Ченнаї,Ченнаи,Ченай,Chennai,Čennaí
205,Madryt,Мадрыд,Мадрид,Мадрид,Мадрид,Madrid,Madrid
206,Malabo,Малаба,Малабо,Малабо,Малабо,Malabo,Malabo
207,Male,Мале,Мале,Мале,Мале,Malé,Male
208,Mombasa,Мамбаса,Момбаса,Момбаса,Момбаса,Mombasa,Mombasa
209,Manama,Манама,Манама,Манама,Манама,Manama,Manáma
210,Monrovia,Манровія,Монровія,Монровия,Монровия,Monrovija,Monrovia
211,Montreal,Манрэаль,Монреаль,Монреаль,Монреал,Montréal,Montréal
212,Montevideo,Мантэвідэа,Монтевідео,Монтевидео,Монтевидео,Montevideo,Montevideo
213,Manila,Маніла,Маніла,Манила,Манила,Manila,Manila
214,Maputo,Мапуту,Мапуту,Мапуту,Мапуто,Maputo,Maputo
215,Moroni,Мароні,Мороні,Морони,Морони,Moroni,Moroni
216,Marsylia,Марсель,Марсель,Марсель,Марсилия,Marseille,Marseille
217,Maseru,Масеру,Масеру,Масеру,Масеру,Maseru,Maseru
218,Moskwa,Масква,Москва,Москва,Москва,Moskva,Moskva
219,Mbabane,Мбабанэ,Мбабане,Мбабане,Мбабане,Mbabane,Mbabane
220,Mekka,Мекка,Мекка,Мекка,Мека,Meka,Mekka
221,Melbourne,Мельбурн,Мельбурн,Мельбурн,Мелбърн,Melbourne,Melbourne
222,Meksyk,Мехіка,Мехіко,Мехико,Мексико,Ciudad de México,Ciudad de México
224,Maskat,Маскат,Маскат,Маскат,Маскат,Muškat,Maskat
225,Monachium,Мюнхен,Мюнхен,Мюнхен,Мюнхен,München,Mnichov
226,Mediolan,Мілан,Мілан,Милан,Милано,Milano,Milán
227,Niamey,Ніямей,Ніамей,Ниамей,Ниамей,Niamey,Niamey
228,Nairobi,Найробі,Найробі,Найроби,Найроби,Nairobi,Nairobi
229,Nassau,Насау,Нассау,Нассау,Насау,"Nassau, Bahami",Nassau
230,Ndżamena,Нджамена,Нджамена,Нджамена,Нджамена,N'Djamena,N'Djamena
231,Neapol,Неапаль,Неаполь,Неаполь,Неапол,Neapelj,Neapol
232,Nawakszut,Нуакшот,Нуакшот,Нуакшот,Нуакшот,Nouakchott,Nuakšott
233,Nukuʻalofa,Нукуалофа,Нукуалофа,Нукуалофа,Нукуалофа,Nukuʻalofa,Nuku'alofa
234,Nowe Delhi,Нью-Дэлі,Нью-Делі,Нью-Дели,Ню Делхи,New Delhi,Nové Dillí
235,Osaka,Осака,Осака,Осака,Осака,Osaka,Ósaka
236,Oslo,Осла,Осло,Осло,Осло,Oslo,Oslo
237,Palermo,Палерма,Палермо,Палермо,Палермо,Palermo,Palermo
238,Palikir,Палікір,Палікір,Паликир,Паликир,Palikir,Palikir
239,Panama,Панама,Панама,Панама,Панама,Panama,Panamá
240,Paramaribo,Парамарыба,Парамарибо,Парамарибо,Парамарибо,Paramaribo,Paramaribo
241,Paryż,Парыж,Париж,Париж,Париж,Pariz,Paříž
242,Pekin,Пекін,Пекін,Пекин,Пекин,Peking,Peking
243,Perth,Перт,Перт,Перт,Пърт,"Perth, Zahodna Avstralija",Perth
245,Phnom Penh,Пнампень,Пномпень,Пномпень,Пном Пен,Phnom Penh,Phnompenh
246,Poznań,Познань,Познань,Познань,Познан,Poznanj,Poznaň
247,Port Vila,Порт-Віла,Порт-Віла,Порт-Вила,Порт Вила,Port Vila,Port Vila
248,Port Louis,Порт-Луі,Порт-Луї,Порт-Луи,Порт Луи,Port Louis,Port Louis
249,Port Moresby,Порт-Морсбі,Порт-Морсбі,Порт-Морсби,Порт Морсби,Port Moresby,Port Moresby
250,Port-of-Spain,Порт-оф-Спейн,Порт-оф-Спейн,Порт-оф-Спейн,Порт ъф Спейн,Port of Spain,Port of Spain
251,Porto-Novo,Порта-Нова,Порто-Ново,Порто-Ново,Порто Ново,Porto-Novo,Porto Novo
252,Praga,Прага,Прага,Прага,Прага,Praga,Praha
253,Praia,Прая,Прая,Прая,Прая,Praia,Praia
254,Pjongjang,Пхеньян,Пхеньян,Пхеньян,Пхенян,Pjongjang,Pchjongjang
255,Rabat,Рабат,Рабат,Рабат,Рабат,Rabat,Rabat
256,Rangun,Янгон,Янгон,Янгон,Янгон,Jangon,Rangún
257,Rio de Janeiro,Рыа-дэ-Жанэйра,Ріо-де-Жанейро,Рио-де-Жанейро,Рио де Жанейро,Rio de Janeiro,Rio de Janeiro
258,Ryga,Рыга,Рига,Рига,Рига,Riga,Riga
259,Rzym,Рым,Рим,Рим,Рим,Rim,Řím
260,Rijad,Рыяд,Ер-Ріяд,Эр-Рияд,Рияд,Riad,Rijád
261,Reykjavík,Рэйк’явік,Рейк'явік,Рейкьявик,Рейкявик,Reykjavik,Reykjavík
262,Ho Chi Minh,Сайгон,Хошимін,Хошимин,Хошимин,Hošiminh,Ho Či Minovo Město
263,San Marino,Сан-Марына,Сан-Марино,Сан-Марино,Сан Марино,San Marino,San Marino
264,São Paulo,Сан-Паулу,Сан-Паулу,Сан-Паулу,Сао Пауло,São Paulo,São Paulo
265,San Salvador,Сан-Сальвадор,Сан-Сальвадор,Сан-Сальвадор,Сан Салвадор,San Salvador,San Salvador
266,San José,Сан-Хасэ,Сан-Хосе,Сан-Хосе,Сан Хосе,San José,San José
267,San Juan,Сан-Хуан,Сан-Хуан,Сан-Хуан,Сан Хуан,"San Juan, Portoriko",San Juan
269,Santiago,Сант’яга,Сантьяго,Сантьяго,Сантяго де Чиле,Santiago de Chile,Santiago de Chile
270,Santo Domingo,Санта-Дамінга,Санто-Домінго,Санто-Доминго,Санто Доминго,Santo Domingo,Santo Domingo
271,Sarajewo,Сараева,Сараєво,Сараево,Сараево,Sarajevo,Sarajevo
272,Sofia,Сафія,Софія,София,София,Sofija,Sofie
274,Saint George’s,Сент-Джорджэс,Сент-Джорджес,Сент-Джорджес,Сейнт Джорджис,St. George's,Saint George's
275,Seul,Сеул,Сеул,Сеул,Сеул,Seul,Soul
276,Skopje,Скоп’е,Скоп'є,Скопье,Скопие,Skopje,Skopje
277,Sztokholm,Стакгольм,Стокгольм,Стокгольм,Стокхолм,Stockholm,Stockholm
278,Stambuł,Стамбул,Стамбул,Стамбул,Истанбул,Carigrad,Istanbul
279,Strasburg,Страсбур,Страсбург,Страсбург,Страсбург,Strasbourg,Štrasburk
280,Suva,Сува,Сува,Сува,Сува,Suva,Suva
281,Surabaja,Сурабая,Сурабая,Сурабая,Сурабая,Surabaja,Surabaja
282,Sydney,Сідней,Сідней,Сидней,Сидни,Sydney,Sydney
284,Tallinn,Талін,Таллінн,Таллин,Талин,Talin,Tallinn
285,Tanger,Танжэр,Танжер,Танжер,Танжер,Tanger,Tanger
286,Toronto,Таронта,Торонто,Торонто,Торонто,Toronto,Toronto
287,Taszkent,Ташкент,Ташкент,Ташкент,Ташкент,Taškent,Taškent
288,Tbilisi,Тбілісі,Тбілісі,Тбилиси,Тбилиси,Tbilisi,Tbilisi
289,Tokio,Токіа,Токіо,Токио,Токио,Tokio,Tokio
290,Trypolis,Трыпалі,Триполі,Триполи,Триполи,Tripoli,Tripolis
291,Tunis,Туніс,Туніс,Тунис,Тунис,Tunis,Tunis
292,Turyn,Турын,Турин,Турин,Торино,Torino,Turín
293,Tirana,Тырана,Тирана,Тирана,Тирана,Tirana,Tirana
294,Teheran,Тэгеран,Тегеран,Тегеран,Техеран,Teheran,Teherán
295,Tegucigalpa,Тэгусігальпа,Тегусігальпа,Тегусигальпа,Тегусигалпа,Tegucigalpa,Tegucigalpa
296,Tel Awiw-Jafa,Тэль-Авіў,Тель-Авів,Тель-Авив,Тел Авив,Tel Aviv,Tel Aviv
297,Wagadugu,Уагадугу,Уагадугу,Уагадугу,Уагадугу,Ouagadougou,Ouagadougou
298,Władywostok,Уладзівасток,Владивосток,Владивосток,Владивосток,Vladivostok,Vladivostok
299,Ułan Bator,Улан-Батар,Улан-Батор,Улан-Батор,Улан Батор,Ulan Bator,Ulánbátar
300,Walvis Bay,Уолвіш-Бей,Волфіш-Бей,Уолфиш-Бей,Уолфиш Бей,Zaliv kitov,Walvis Bay
301,Saloniki,Салонікі,Салоніки,Салоники,Солун,Solun,Soluň
302,Florencja,Фларэнцыя,Флоренція,Флоренция,Флоренция,Firence,Florencie
303,Frankfurt nad Menem,Франкфурт-на-Майне,Франкфурт-на-Майні,Франкфурт-на-Майне,Франкфурт на Майн,Frankfurt ob Majni,Frankfurt nad Mohanem
304,Freetown,Фрытаўн,Фрітаун,Фритаун,Фрийтаун,Freetown,Freetown
305,Chabarowsk,Хабараўск,Хабаровськ,Хабаровск,Хабаровск,Habarovsk,Chabarovsk
306,Hanoi,Ханой,Ханой,Ханой,Ханой,Hanoj,Hanoj
307,Harare,Харарэ,Хараре,Хараре,Хараре,Harare,Harare
308,Chartum,Хартум,Хартум,Хартум,Хартум,Kartum,Chartúm
309,Helsinki,Хельсінкі,Гельсінкі,Хельсинки,Хелзинки,Helsinki,Helsinky
310,Zurych,Цурых,Цюрих,Цюрих,Цюрих,Zürich,Curych
311,Szanghaj,Шанхай,Шанхай,Шанхай,Шанхай,Šanghaj,Šanghaj
312,Stuttgart,Штутгарт,Штутгарт,Штутгарт,Щутгарт,Stuttgart,Stuttgart
313,Edynburg,Эдзінбург,Единбург,Эдинбург,Единбург,Edinburg,Edinburgh
314,Yaren,Ярэн,Ярен,Ярен,Ярен,Yaren,Yaren
315,Jaunde,Яўндэ,Яунде,Яунде,Яунде,Yaoundé,Yaoundé
316,Język ukraiński,Украінская мова,Українська мова,Украинский язык,Украински език,Ukrajinščina,Ukrajinština
317,Tyraspol,Ціраспаль,Тирасполь,Тирасполь,Тираспол,Tiraspol,Tiraspol
318,Sewastopol,Севастопаль,Севастополь,Севастополь,Севастопол,Sevastopol,Sevastopol
319,Tomsk,Томск,Томськ,Томск,Томск,Tomsk,Tomsk
320,Samara,Самара,Самара,Самара,Самара,Samara,Samara
321,Omsk,Омск,Омськ,Омск,Омск,Omsk,Omsk
322,Pietropawłowsk Kamczacki,Петрапаўлаўск-Камчацкі,Петропавловськ-Камчатський,Петропавловск-Камчатский,Петропавловск Камчатски,Petropavlovsk-Kamčatski,Petropavlovsk-Kamčatskij
323,Miasto,Горад,Місто,Город,Град,Mesto,Město
324,Tobolsk,Табольск,Тобольськ,Тобольск,Тоболск,Tobolsk,Tobolsk
326,Szlachta w Polsce,Шляхта,Польська шляхта,Шляхта,Шляхта,Šlahta,Szlachta
327,Smoleńsk,Смаленск,Смоленськ,Смоленск,Смоленск,Smolensk,Smolensk
328,Język rosyjski,Руская мова,Російська мова,Русский язык,Руски език,Ruščina,Ruština
329,Novo Mesto,Нова-Места,Ново Место,Ново-Место,Ново место,Novo mesto,Novo mesto
