,pl,be,uk,ru,bg,sl,cs
165,w Gusie-Khrustalnym,ў Гусе-Крыштальным,в Гусі-Кришталевому,в Гусе-Хрустальном,в Гус-Хрустални,v Gus-Khrustalnyju,v Gus-Khrustalny
166,w Krasnokamieńsku,ў Краснакаменску,у Краснокаменську,в Краснокаменске,в Краснокаменск,v Krasnokamensku,v Krasnokamensku
167,w Klinie,ў Кліне,у Клині,в Клине,в Клин,v Klinu,v Klinu
168,w Kurganie,ў Кургане,у Кургані,в Кургане,в Курган,v Kurganu,v Kurganu
169,w Nowosybirsku,ў Новасібірску,В Новосибірську,в Новосибирске,в Новосибирск,v Novosibirsku,v Novosibirsku
170,w Kaspijsku,ў Каспійску,у Каспійську,в Каспийске,в Каспийск,v Kaspijsku,v Kaspijsku
171,w Norylsku,ў Нарыльску,у Норильську,в Норильске,в Норилск,v Norilsku,v Norilsku
172,W Niżnym Nowogrodzie,ў Ніжнім Ноўгарадзе,у Нижньому Новгороді,в Нижнем Новгороде,В Нижни Новгород,V Nižnjem Novgorodu,V Nižním Novgorodu
173,w Czelabińsku,ў Чэлябінску,у Челябінську,в Челябинске,в Челябинск,v Čeljabinsku,v Čeljabinsku
174,w Barnaule,ў Барнавуле,у Барнаулі,в Барнауле,в Барнаул,v Barnaulu,v Barnaul
175,w Smoleńsku,ў Смаленску,у Смоленську,в Смоленске,в Смоленск,v Smolensku,ve Smolensku
176,w Bugulmie,ў Бугульме,у Бугульмі,в Бугульме,в Бугулма,v Bugulmi,v Bugulmě
177,w Surgutie,ў Сургуце,у Сургуті,в Сургуте,в Сургут,v Surgutu,v Surgutu
178,w Vyksie,у Выксе,у Виксі,в Выксе,във Викса,v Vyksi,ve Vykse
179,w Shuje,ў Шуе,у Шуї,в Шуе,в Шуя,v Shuyi,v Shuya
180,w Żygulewsku,ў Жыгулёўску,у Жигулівську,в Жигулевске,в Жигулевск,v Žigulevsku,v Žigulevsku
181,w Sterlitamaku,ў Сцерлітамаку,у Стерлітамаку,в Стерлитамаке,в Стерлитамак,v Sterlitamaku,ve Sterlitamaku
182,w Uljanowsku,ва Ульянаўску,в Ульяновську,в Ульяновске,в Уляновск,v Uljanovsku,v Uljanovsku
183,w Zarechnym,ў Зарэчным,у Зарічному,в Заречном,в Заречни,v Zarechnyju,v Zarechném
184,w Łytkarinie,ў Лыткарына,в Литкаріне,в Лыткарино,в Литкарино,v Lytkarinu,v Lytkarinu
185,w Armavirze,у Армавіры,в Армавірі,в Армавире,в Армавир,v Armavirju,v Armaviru
186,w Biełogorsku,ў Белагорску,у Білогірську,в Белогорске,в Белогорск,v Belogorsku,v Belogorsku
187,w Aleksandrowie,у Аляксандраве,в Олександрові,в Александрове,в Александров,v Aleksandrovu,v Alexandrově
188,w Szadrińsku,ў Шадрынску,у Шадрінську,в Шадринске,в Шадринск,v Šadrinsku,v Shadrinsku
189,w Rostowie nad Donem,ў Растове-на-Доне,у Ростові-на-Дону,в Ростове-на-Дону,в Ростов на Дон,v Rostovu na Donu,v Rostově na Donu
190,w Kropotkinie,ў Крапоткіне,у Кропоткіні,в Кропоткине,в Кропоткин,v Kropotkinu,v Kropotkinu
191,w Puszkinie,ў Пушкіна,в Пушкіне,в Пушкино,в Пушкино,v Puškinu,v Pushkino
192,w Mineralnych Wodach,ў Мінеральных Водах,у Мінеральних Водах,в Минеральных Водах,в Минерални Води,v Mineralnih Vodah,v Minerálních Vodách
193,w Revdie,ў Рэўдзе,у Ревді,в Ревде,в Ревда,v Revdi,v Revdě
194,w Borisoglebsku,ў Барысаглебску,у Борисоглібську,в Борисоглебске,в Борисоглебск,v Borisoglebsku,v Borisoglebsku
195,w Krasnodarze,ў Краснадары,у Краснодарі,в Краснодаре,в Краснодар,v Krasnodarju,v Krasnodaru
196,w Noworosyjsku,ў Наварасійску,в Новоросійську,в Новороссийске,в Новоросийск,v Novorossiysku,v Novorossijsku
197,w Buzuluku,ў Бузулуку,у Бузулуку,в Бузулуке,в Бузулук,v Buzuluku,v Buzuluku
198,w Irkucku,у Іркуцку,в Іркутську,в Иркутске,в Иркутск,v Irkutsku,v Irkutsku
199,w Neryungriach,ў Нярунграх,у Нерюнгрях,в Нерюнгрях,в Нерюнгри,v Neryungriju,v Neryungri
200,W Wołgogradzie,у Валгаградзе,у Волгограді,в Волгограде,във Волгоград,V Volgogradu,Ve Volgogradu
201,w Ishimie,у Ішыме,в Ішимі,в Ишиме,в Ишим,v Ishimu,v Ishim
202,w Shali,ў Шалі,у Шалі,в Шали,в Шали,v Shaliju,v Šali
203,w Miczurinsku,ў Мічурынску,у Мічурінську,в Мичуринске,в Мичуринск,v Michurinsk,v Michurinsku
204,w Wotkińsku,ў Воткінску,у Воткінську,в Воткинске,във Воткинск,v Votkinsku,ve Votkinsku
205,w Wyborgu,у Выбарзе,у Виборзі,в Выборге,във Виборг,v Vyborgu,ve Vyborgu
206,w Nazraniu,ў Назрані,у Назрані,в Назрани,в Назран,v Nazranu,v Nazrani
207,w Apatitach,у Апатытах,в Апатитах,в Апатитах,в Апатити,v Apatitih,v Apatity
208,w Sierowu,ў Сярова,у Сірові,в Серове,в Серов,v Serovu,v Serově
209,w Kamieńsku-Szachtinskim,ў Каменску-Шахцінскім,у Кам'янську-Шахтинському,в Каменске-Шахтинском,в Каменск-Шахтински,v mestu Kamensk-Shakhtinsky,v Kamensku-Šachtinském
210,w Soczi,ў Сочы,в Сочи,в Сочи,в Сочи,v Sočiju,v Soči
211,w Jegoriewsku,у Ягор'еўску,в Єгорьєвську,в Егорьевске,в Егориевск,v Jegorjevsku,v Jegorjevsku
212,w Piatigorsku,ў Пяцігорску,у П'ятигорську,в Пятигорске,в Пятигорск,v Pjatigorsku,v Pjatigorsku
213,w Krymsku,ў Крымску,у Кримську,в Крымске,в Кримск,v Krimsku,v Krymsku
214,w Sarowie,ў Сарове,у Сарові,в Сарове,в Саров,v Sarovu,v Sarově
215,w Tiumeni,ў Цюмені,у Тюмені,в Тюмени,в Тюмен,v Tjumenu,v Ťumenu
216,w Żukowskim,ў Жукоўскім,у Жуківському,в Жуковском,в Жуковски,v Žukovskem,v Žukovském
217,w Tomsku,ў Томску,у Томську,в Томске,В Томск,V Tomsku,V Tomsku
218,w Abakanie,у Абакане,в Абакані,в Абакане,в Абакан,v Abakanu,v Abakanu
219,w Magnitogorsku,ў Магнітагорску,у Магнітогорську,в Магнитогорске,в Магнитогорск,v Magnitogorsku,v Magnitogorsku
220,w Sarańsku,ў Саранску,у Саранську,в Саранске,в Саранск,v Saransku,v Saransku
221,w Oktiabrskim,ў Кастрычніцкім,у Жовтневому,в Октябрьском,в Октябрски,v Oktjabrskem,v Oktyabrském
222,w Artemie,у Арцёме,в Артемі,в Артеме,в Артем,v Artemu,v Artem
223,w Krasnoturyńsku,ў Краснатур'інску,у Краснотур'їнську,в Краснотурьинске,в Краснотуринск,v Krasnoturinsku,v Krasnoturinsku
224,w Liskiu,ў Ліскі,у Лисках,в Лисках,в Лиски,v Liski,v Liski
225,we Wsiewołożsku,у Всеволожске,у Всеволожську,во Всеволожске,във Всеволожск,v Vsevolozhsku,ve Vsevolozhsku
226,w Permie,ў Пермі,в Пермі,в Перми,в Перм,V Permu,V Perm
227,w Niżniewartowsku,ў Ніжневартаўску,у Нижньовартівську,в Нижневартовске,в Нижневартовск,v Nizhnevartovsku,v Nižněvartovsku
228,w Kołomnej,ў Каломне,у Коломні,в Коломне,в Коломна,v Kolomni,v Kolomně
229,w Iskitimie,у Іскітыме,в Іскітімі,в Искитиме,в Искитим,v Iskitimu,v Iskitimu
230,w Kogałymie,ў Кагалыме,у Когалимі,в Когалыме,в Когалим,v Kogalymu,v Kogalymu
231,w Sarapuli,ў Сарапуле,у Сарапулі,в Сарапуле,в Сарапул,v Sarapulu,v Sarapul
232,w Gatchinie,ў Гатчыне,у Гатчині,в Гатчине,в Гатчина,v Gatchini,v Gatchina
233,we Włodzimierzu,ва Уладзіміры,у Володимирі,во Владимире,във Владимир,v Vladimirju,ve Vladimíru
234,w Chistopolu,ў Чыстапалі,у Чистополі,в Чистополе,в Чистопол,v Chistopolu,v Chistopolu
235,w Angarsku,у Ангарску,в Ангарську,в Ангарске,в Ангарск,v Angarsku,v Angarsku
236,w Czerkiesku,ў Чаркеску,у Черкеську,в Черкесске,в Черкеск,v Čerkesku,v Cherkessku
237,w Czernogorsku,ў Чарнагорску,у Чорногорську,в Черногорске,в Черногорск,v Černogorsku,v Černogorsku
238,w Nowoaltajsku,ў Новаалтайску,у Новоалтайську,в Новоалтайске,в Новоалтайск,v Novoaltajsku,v Novoaltajsku
239,w Arseniewie,у Арсеньеве,в Арсеньєві,в Арсеньеве,в Арсениев,v Arsenjevu,v Arsenievu
240,w Kemerowie,ў Кемерава,у Кемерово,в Кемерово,в Кемерово,v Kemerovu,v Kemerovu
241,w Bijsku,ў Бійску,у Бійську,в Бийске,в Бийск,v Biysku,v Bijsku
242,w Donskom,ў Данскім,у Донському,в Донском,в Донской,v Donskem,v Donsku
243,w Klincach,ў Клінцах,у Клинцях,в Клинцах,в Клинци,v Klintsy,v Klintsy
244,w Ozersku,у Азёрску,в Озерську,в Озерске,в Озерск,v Ozersku,v Ozersku
245,w Ufa,ва Уфе,в Уфі,в Уфе,в Уфа,v Ufi,v Ufě
246,w Majkopie,ў Майкопе,у Майкопі,в Майкопе,в Майкоп,v Maykopu,v Maykopu
247,w Samarze,ў Самары,в Самарі,в Самаре,в Самара,v Samari,v Samaře
248,w Chasawjurcie,ў Хасавюрце,у Хасавюрті,в Хасавюрте,в Хасавюрт,v Khasavyurtu,v Khasavjurt
